cobra_reaction_id,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
FUMtex,0.0,0.0,0.0,0.0,0.0,-1.14,0.0
LDH_D,0.0,0.0,-1.157,0.0,0.0,0.0,0.0
D_LACt2pp,0.0,0.0,-1.157,0.0,0.0,0.0,0.0
PGK,-3.3085,2.2639,1.1293,-8.0129,-13.4646,3.4151,-15.7104
PGM,-3.0415,2.7366,1.7891,-7.2588,-12.5985,4.2739,-14.5577
ACt2rpp,0.0,13.584000000000001,-11.9139,-0.597,-3.3287,-3.321,-6.827000000000001
ACKr,0.0,13.584000000000001,-11.9139,-0.597,-3.3287,-3.321,-6.827000000000001
FRUtex,0.0,0.0,0.0,0.0,8.328,0.0,0.0
FRUK,0.0,0.0,0.0,0.0,8.328,0.0,0.0
GALabcpp,1.969,0.0,0.0,0.0,0.0,0.0,0.0
GALKr,1.969,0.0,0.0,0.0,0.0,0.0,0.0
UGLT,1.969,0.0,0.0,0.0,0.0,0.0,0.0
PGMT,1.969,0.0,0.0,0.0,0.0,0.0,0.0
GLCptspp,0.0,0.0,0.0,0.0,0.0,0.0,9.654
GLYCtex,0.0,0.0,0.0,4.9448,0.0,0.0,0.0
GLYK,0.0,0.0,0.0,4.9448,0.0,0.0,0.0
G3PD5,0.0,0.0,0.0,4.9448,0.0,0.0,0.0
GLCNtex,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYRt2rpp,0.0,0.0,26.714000000000002,0.0,0.0,0.0,0.0
SUCCtex,0.0,0.0,0.0,0.0,0.0,15.902000000000001,0.0
PGI,1.3685,-3.4233,-0.8982,-3.4494,-6.1979,-5.5903,5.7
FBA,1.5475,-1.8862,-0.5870000000000001,-1.4957,5.867000000000001,-2.6916,7.0585
TPI,1.5475,-1.8862,-0.5870000000000001,8.6403,5.867000000000001,-2.6916,7.0585
GAPD,3.3085,-2.2639,-1.1293,8.0129,13.4646,-3.4151,15.7104
ENO,3.0415,-2.7366,-1.7891,7.2588,12.5985,-4.2739,14.5577
PDH,2.9427,0.0655,21.0174,4.0977,9.0688,7.7521,11.2985
EDD,0.17300000000000001,0.8216,0.0,0.0146,0.0,0.6555,1.087
EDA,0.17300000000000001,0.8216,0.0,0.0146,0.0,0.6555,1.087
G6PDH2r,0.5917,3.4083,0.8768,3.4261,6.1713,5.5633,3.9193
PGL,0.5917,3.4083,0.8768,3.4261,6.1713,5.5633,3.9193
GND,0.4187,2.5867,0.8768,3.4115,6.1713,4.9078,2.8323
RPI,0.2279,1.0293,0.5389,1.4264,2.3985,1.9741,1.4274
RPE,0.1908,1.5574,0.3379,1.9851,3.7727,2.9337,1.4048
TKT1,0.1322,0.8391,0.2477,1.0807,1.9838,1.5639,0.8202
TALA,0.1322,0.8391,0.2477,1.0807,1.9838,1.5639,0.8202
TKT2,0.0586,0.7182,0.0901,0.9044,1.7889,1.3698,0.5846
PPC,0.3774,1.7741,2.4894,1.3765,3.5457,2.0161,2.4533
PPCK,0.8489,3.1143,1.1648,0.0,0.3589,2.9718,0.5409
CS,1.521,8.834,8.0819,2.4648,4.5683,3.1554,2.978
ACONTa,1.521,8.834,8.0819,2.4648,4.5683,3.1554,2.978
ACONTb,1.521,8.834,8.0819,2.4648,4.5683,3.1554,2.978
ICDHyr,0.4962,4.6964,7.9793,2.4648,4.5661,3.0389,2.978
AKGDH,0.2361,4.2672,7.4157,1.8405,3.8749,2.352,2.1381
SUCOAS,0.2361,4.2672,7.4157,1.8405,3.8749,2.352,2.1381
FUM,1.2609,8.4048,7.5183,1.8405,3.8771,17.2304,2.1381
ICL,1.0248,4.1376,0.1026,0.0,0.0022,0.1165,0.0
MALS,1.0248,4.1376,0.1026,0.0,0.0022,0.1165,0.0
