,ACETATE,FRUCTOSE,GALACTOSE,GLUCOSE,GLYCEROL,PYRUVATE,SUCCINATE
EX_ac_e,-13.584,3.3287,0,6.827,0.597,11.9139,3.321
FRUpts2pp,0,8.328,0,0,0,0,0
GALKr,0,0,1.969,0,0,0,0
GLCptspp,0,0,0,9.654,0,0,0
GLYK,0,0,0,0,4.9448,0,0
GLCNtex,0,0,0,0,0,0,0
PYRt2rpp,0,0,0,0,0,26.714,0
SUCCtex,0,0,0,0,0,0,15.902
FUMtex,0,0,0,0,0,0,1.14
D_LACt2pp,0,0,0,0,0,1.157,0
PGI,-3.4233,-6.1979,1.3685,5.7,-3.4494,-0.8982,-5.5903
FBP,1.8862,2.461,0,0,1.5,0.587,2.6916
PFK,0,0,1.5475,7.0585,0,0,0
FBA,-1.8862,5.867,1.5475,7.0585,-1.4957,-0.587,-2.6916
TPI,-1.8862,5.867,1.5475,7.0585,8.6403,-0.587,-2.6916
GAPD,-2.2639,13.4646,3.3085,15.7104,8.0129,-1.1293,-3.4151
PGK,2.2639,-13.4646,-3.3085,-15.7104,-8.0129,1.1293,3.4151
ENO,-2.7366,12.5985,3.0415,14.5577,7.2588,-1.7891,-4.2739
PGM,2.7366,-12.5985,-3.0415,-14.5577,-7.2588,1.7891,4.2739
PPS,1.6532,0,0,0,0,3.4504,3.73
PYK,0,0.669,3.3573,2.4873,5.5073,0,0
PDH,0.0655,9.0688,2.9427,11.2985,4.0977,21.0174,7.7521
EDD,0.8216,0,0.173,1.087,0.0146,0,0.6555
EDA,0.8216,0,0.173,1.087,0.0146,0,0.6555
PGL,3.4083,6.1713,0.5917,3.9193,3.4261,0.8768,5.5633
G6PDH2r,3.4083,6.1713,0.5917,3.9193,3.4261,0.8768,5.5633
GND,2.5867,6.1713,0.4187,2.8323,3.4115,0.8768,4.9078
RPI,1.0293,2.3985,0.2279,1.4274,1.4264,0.5389,1.9741
RPE,1.5574,3.7727,0.1908,1.4048,1.9851,0.3379,2.9337
TKT1,0.8391,1.9838,0.1322,0.8202,1.0807,0.2477,1.5639
TALA,0.8391,1.9838,0.1322,0.8202,1.0807,0.2477,1.5639
TKT2,0.7182,1.7889,0.0586,0.5846,0.9044,0.0901,1.3698
PPC,1.7741,3.5457,0.3774,2.4533,1.3765,2.4894,2.0161
PPCK,3.1143,0.3589,0.8489,0.5409,0,1.1648,2.9718
CS,8.834,4.5683,1.521,2.978,2.4648,8.0819,3.1554
ACONTa,8.834,4.5683,1.521,2.978,2.4648,8.0819,3.1554
ACONTb,8.834,4.5683,1.521,2.978,2.4648,8.0819,3.1554
ICDHyr,4.6964,4.5661,0.4962,2.978,2.4648,7.9793,3.0389
AKGDH,4.2672,3.8749,0.2361,2.1381,1.8405,7.4157,2.352
SUCOAS,4.2672,3.8749,0.2361,2.1381,1.8405,7.4157,2.352
SUCDi,8.4048,3.8771,1.2609,2.1381,1.8405,7.5183,18.3704
FUM,8.4048,3.8771,1.2609,2.1381,1.8405,7.5183,17.2304
MDH,10.6713,2.2277,2.2851,2.1381,1.8405,7.4278,4.9507
ME2,1.871,1.6516,0.0005,0,0,0.1931,12.3962
ICL,4.1376,0.0022,1.0248,0,0,0.1026,0.1165
MALS,4.1376,0.0022,1.0248,0,0,0.1026,0.1165
