bnumber,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,Chemostat u=0.20,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GAL_BATCH_mu=0.26_S,GLC_CHEM_mu=0.26_P,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLC_CHEM_mu=0.46_P,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,XYL_BATCH_mu=0.55_S,GLC+SALTS_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
B8LFD5,,15.7894736842,12.5,,,,15.3846153846,,12.1739130435,,,14.1666666667,,16,,,14.1732283465,19.3798449612,9.9236641221,,13.6363636364,21.9696969697,,12.6394052045,,19.3548387097,10.752688172,13.3802816901,6.1433447099,15.5405405405,7.3825503356
D0EX67,,41.0526315789,49.0384615385,,,,80.5429864253,,70.4347826087,,,52.5,,75.2,,,73.2283464567,75.1937984496,66.4122137405,,78.7878787879,65.1515151515,,59.4795539033,,94.623655914,91.7562724014,92.2535211268,83.9590443686,74.3243243243,81.8791946309
D4HZR9,,3.1578947368,0.9615384615,,,,1.8099547511,,1.7391304348,,,0.8333333333,,1.6,,,1.5748031496,4.6511627907,1.5267175573,,1.5151515152,6.0606060606,,1.4869888476,,0.7168458781,5.7347670251,1.4084507042,3.4129692833,1.3513513514,8.7248322148
D8FH86,,17.8947368421,20.1923076923,,,,21.7194570136,,19.1304347826,,,16.6666666667,,25.6,,,20.4724409449,10.0775193798,26.7175572519,,24.2424242424,21.2121212121,,17.843866171,,21.5053763441,31.541218638,11.2676056338,23.8907849829,14.8648648649,34.2281879195
D9IX93,,181.0526315789,198.0769230769,,,,295.0226244344,,238.2608695652,,,193.3333333333,,227.2,,,242.5196850394,227.9069767442,265.6488549618,,235.6060606061,230.303030303,,185.1301115242,,184.9462365591,302.5089605735,222.5352112676,361.0921501706,196.6216216216,159.7315436242
E1MTY0,,7.3684210526,7.6923076923,,,,19.0045248869,,12.1739130435,,,6.6666666667,,16,,,13.3858267717,14.7286821705,12.9770992366,,17.4242424242,13.6363636364,,10.4089219331,,22.2222222222,17.2043010753,20.4225352113,15.0170648464,12.8378378378,20.8053691275
P00452-2,,2.1052631579,13.4615384615,,,,7.2398190045,,4.347826087,,,5,,7.2,,,14.1732283465,6.976744186,18.320610687,,18.9393939394,,,3.717472119,,,24.3727598566,19.7183098592,15.6996587031,,11.4093959732
P02919-2,,2.1052631579,4.8076923077,,,,12.6696832579,,30.4347826087,,,5.8333333333,,154.4,,,1.5748031496,8.5271317829,51.1450381679,,13.6363636364,,,8.1784386617,,,14.3369175627,42.2535211268,15.0170648464,,26.1744966443
P0CE60,,29.4736842105,31.7307692308,,,,38.9140271493,,17.3913043478,,,38.3333333333,,52,,,49.6062992126,39.5348837209,45.0381679389,,42.4242424242,33.3333333333,,39.405204461,,31.541218638,18.6379928315,33.0985915493,17.747440273,30.4054054054,22.8187919463
P23477,,13.6842105263,14.4230769231,,,,18.0995475113,,10.4347826087,,,12.5,,8.8,,,11.0236220472,9.3023255814,10.6870229008,,8.3333333333,12.8787878788,,8.1784386617,,10.752688172,15.770609319,9.1549295775,17.0648464164,8.1081081081,14.7651006711
