,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.58_S,GLC_BATCH_mu=0.6_H,GLC+AA_CHEM_mu=0.63_P,GLC@pH6_BATCH_mu=0.63_S,GLC+AA_CHEM_mu=0.65_P,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S
b0002,2.0955179971450742e-05,2.2807417543850244e-05,1.6453796576899643e-05,1.0139615497946658e-05,6.4606034287625725e-06,7.000520111032001e-06,1.0700770442260997e-05,1.347987741833351e-05,8.46447135155848e-06,1.3586157238044073e-05,7.410269751273942e-06,8.32951911691752e-06,8.736381439332006e-06,1.5760580333631e-05,1.1580702596356265e-05,1.2201255048631017e-05,1.7555826716870587e-05,1.0079873805555339e-05,1.1975394697666355e-05,1.977562973512306e-05,2.0236966432236457e-05,6.404044466724991e-05,1.5214461426831842e-05,2.2881862690631693e-05,1.39508023838231e-05,2.187373273849394e-05,2.47670346203687e-05,1.4396678537874006e-05,2.5798208050395467e-05,3.437398744440769e-05,3.108150257298264e-05,2.9147771788662236e-05,1.5180093303102602e-05,5.392529950543102e-05,2.7525054752170142e-05,2.8436547295011113e-05,1.6337090662399933e-05,1.5994990823879784e-05,4.520780982570041e-05,6.553919677801233e-05,1.8800035492023677e-05,4.07517848291145e-05,5.395662470631073e-05,1.707671684543561e-05,3.9074885574161236e-05,1.717177702423538e-05,7.180072473704931e-05,3.382962756254045e-05,3.302419422915327e-05,1.7351611496372317e-05,1.7047845880234765e-05,1.826005154829188e-05,1.749507968529891e-05,6.722984982397424e-05,1.7089131370473644e-05,1.4513412085988798e-05,2.3367337681794753e-05,1.3823916070487243e-05
b0003,4.112551075061815e-06,2.6073329263796243e-06,3.2521957427818978e-06,1.6443354864907997e-06,7.729053886986191e-07,7.238389795501801e-07,9.212549167419604e-07,2.430702116718656e-06,1.007544570176592e-06,2.5987855135977557e-06,1.4890039429097646e-06,2.275360316020306e-06,1.905954441421354e-06,2.7914933083936926e-06,1.703115138967455e-06,2.200981440626613e-06,3.047675932828245e-06,1.2044945500832583e-06,2.1002045522129007e-06,1.2586281189089075e-06,3.9078062217839854e-06,5.291898524363682e-06,1.9121860466104313e-06,4.069013604594958e-06,2.7840024831710093e-06,2.8988214126095535e-06,2.5996597269836196e-06,2.6762836808837194e-06,4.266160121045079e-06,4.545466654808829e-06,2.937161243521738e-06,1.5363306097389822e-06,1.9577753878969515e-06,2.218019576343628e-06,5.051390995947606e-06,4.481756358410353e-06,3.3091078091789802e-06,2.9870533376383534e-06,1.071796356161064e-05,8.256823475451465e-06,3.6988451225735324e-06,4.244980563594968e-06,9.890355408893078e-06,3.5410091821498818e-06,6.173121370074844e-06,3.2428396956705217e-06,5.304091408786572e-06,4.369517460317095e-06,6.369147989702693e-06,3.550695256776247e-06,3.3756217334680614e-06,3.816863578279067e-06,3.2809143559884014e-06,7.398919124934108e-06,2.8801353178118174e-06,2.6234019111990925e-06,4.7770886873866465e-06,2.165183743844446e-06
b0004,4.0625809301854425e-05,4.362809386269737e-05,1.6561930658961784e-05,1.1023633109699445e-05,1.6265934799373923e-05,1.4300385070164867e-05,1.7914232026202818e-05,2.2543358432005248e-05,2.037783172273957e-05,2.246156932344695e-05,1.609691890228422e-05,1.8936335954216208e-05,1.75487968062678e-05,2.4436363529066155e-05,2.6115660929635877e-05,3.241191830541581e-05,2.6525213800405027e-05,1.9510225296180876e-05,2.0270175096886152e-05,3.075698496122615e-05,2.9288705711608994e-05,0.0001235108220471727,2.483059199916801e-05,3.1297995627937586e-05,2.4227312647485328e-05,5.666853647223765e-05,6.567144612323223e-05,2.2927270057803942e-05,3.476406876876543e-05,5.941202302307605e-05,7.3788703818339e-05,6.0722387999634584e-05,2.7950140799452577e-05,5.956922221718128e-05,3.869497586349641e-05,3.7856709112866914e-05,2.6077753462081156e-05,2.503030861901282e-05,0.0001234391094094967,0.00011958149634623842,1.8423952737284153e-05,0.00010438319246630184,5.015366385456357e-05,2.707224396047561e-05,7.059216337619036e-05,2.636073214795401e-05,0.00010803420328977972,5.589771883383702e-05,0.00010322770394213353,2.7209904344616702e-05,2.604899692552411e-05,2.879910324014978e-05,2.3555775959677058e-05,0.0001272383766701996,3.340429460733921e-05,4.010022156089267e-05,3.788111458315257e-05,1.5512360096490566e-05
b0006,8.72643394619162e-07,7.259936545986227e-07,1.0229847537590284e-06,4.817358425436462e-07,2.946198600801051e-07,8.739894375324227e-07,1.5183645850006386e-06,8.926702654770905e-07,3.6536888198832515e-07,,8.15782542933933e-07,,1.2120908640525145e-06,1.104423247339551e-06,2.160675129077038e-06,2.4970303705660304e-06,,4.234374248632084e-07,1.008729437139017e-06,2.2073091003029706e-06,,3.5845625973751307e-06,4.353127941166507e-07,,9.10303373876584e-07,3.316316624103529e-06,3.490511685662317e-06,,,4.921794590482353e-06,3.979647578145746e-06,4.322914183901521e-06,4.968533729173284e-07,3.1350899350045874e-06,,1.0494676128271714e-06,8.06409051662329e-07,,3.7701882050339688e-06,5.196319413649906e-06,2.1072458207740383e-06,5.7407165318444485e-06,5.10027055490212e-06,8.550166361104382e-07,3.998863032623762e-06,,6.2215200412995835e-06,5.0496233798170235e-06,4.625884038786355e-06,,,9.254440040097935e-07,,5.869223122975068e-06,8.760302901857324e-06,8.236961417181471e-06,1.19533240078806e-05,8.416660913666674e-06
b0008,5.3594569968529034e-05,6.21457415795099e-05,3.166634493173994e-05,1.4807859091421923e-05,3.157177618622378e-05,1.804253029517789e-05,2.553263967613812e-05,7.889255831547194e-05,3.557125965657167e-05,7.621002528655031e-05,6.926481144326564e-05,7.305050177133417e-05,7.223812762542132e-05,8.114521889937962e-05,4.312972084507049e-05,3.889878089284325e-05,7.966010019721385e-05,3.60174414327169e-05,7.982875008348088e-05,4.1977880474592325e-05,8.087654993934487e-05,7.058259062090742e-05,3.754040722010963e-05,8.166018978856514e-05,8.320231997012255e-05,6.191199003156424e-05,6.24055947865197e-05,8.252053309617966e-05,8.193847497767992e-05,6.47895771769227e-05,7.503377590132894e-05,6.057134537937749e-05,3.832211849702585e-05,6.772224943022791e-05,8.378480157469843e-05,8.481677855226303e-05,8.732738323235037e-05,8.935432253822127e-05,9.564758530055555e-05,9.413367699818662e-05,3.185529640859091e-05,7.59482034871374e-05,5.9135491063487415e-05,8.749368984229014e-05,9.769449992731437e-05,8.822896269899251e-05,9.317690868905354e-05,0.00014565932919286597,6.979886656954146e-05,8.71115297964897e-05,8.568047954089502e-05,8.605850838811402e-05,7.946068966383358e-05,6.687216370206055e-05,0.00017776418164739172,0.00013627811254572015,0.0001710524690070226,0.00011584742234676886
b0009,9.301131370952485e-08,,5.888403510076013e-07,2.2835774429826075e-07,9.739312368660011e-07,9.780574244879597e-08,1.2826606458387555e-07,,8.580960672836947e-07,4.808605927288133e-07,5.616469205298638e-07,,,4.5426468703238715e-07,7.456574545853182e-08,2.7863088304501496e-07,,8.365593806715198e-07,,1.6267243102766253e-07,,3.0462083312723085e-07,6.529440314943543e-07,,,4.3474972046433704e-07,1.166468208791621e-07,,,4.206250757633149e-07,2.897308309416965e-07,1.5031198313183382e-07,6.054928738418284e-07,2.2940345194059705e-07,,3.6596739434249254e-07,2.932957340469254e-07,4.7672068501371573e-07,7.164470653835247e-08,5.107415166205068e-08,7.83698686044113e-07,3.3718903330479644e-07,6.013037320147248e-07,,9.505075742071985e-08,,1.390404462133123e-07,9.829333705924451e-08,1.167887214778685e-06,,,,,1.7234129629058176e-06,1.2596425572315747e-06,4.120294218369948e-06,1.960449861947038e-06,4.358559413019119e-06
b0014,0.000277743113650406,0.00027484508979967216,3.8509692237866604e-05,3.0579968841087495e-05,4.068038568105901e-05,4.591974827631652e-05,5.495146374884851e-05,6.297198885025736e-05,3.583976376816645e-05,6.359765170938814e-05,6.725137847719298e-05,6.689640744362863e-05,6.884140489108217e-05,6.176080389007329e-05,6.160934674933389e-05,8.20229716401131e-05,5.995843783272149e-05,3.5100723309584644e-05,7.267678002963144e-05,8.008960365838726e-05,5.9708602710756295e-05,8.327036596162443e-05,3.389743642417123e-05,5.8430648502946304e-05,6.992267305191372e-05,0.00010767145906567384,0.00012765725516093414,7.546100919382951e-05,6.117311728534685e-05,0.00011495088077791435,0.00011756090830608857,0.0001202016965629845,3.4016844268401806e-05,0.00010524014125214923,5.934204195292639e-05,6.133831232168571e-05,7.795729844886562e-05,7.545419644432425e-05,0.00014589835119070823,0.00013002316635913382,4.138569354716397e-05,0.00013294136726733905,7.429378545509646e-05,7.508129731668463e-05,0.00025250651636269034,7.375451640014576e-05,0.00013956458475667023,0.0003372780286302851,0.00013686388224272907,7.35266047720383e-05,7.359092927524525e-05,6.984897873766143e-05,6.845073914493265e-05,0.00020684108465406602,0.0003729815331033342,0.00045802589707533516,0.00064663503778505,0.0003915994451665859
b0015,5.306291371260134e-06,3.872237882410035e-06,3.894521764762856e-06,2.411502202661885e-06,2.398472353666646e-06,1.7506558650829939e-06,2.3592896734536354e-06,2.6609261573710853e-06,2.4856254873402144e-06,2.7352781591146285e-06,2.7600503050987235e-06,2.924289679524919e-06,2.616367692851898e-06,2.820873180556316e-06,2.376608591206389e-06,2.8596266557498447e-06,2.7033969037705096e-06,2.4541758865630894e-06,2.8554672217429817e-06,3.512311542533794e-06,2.805669539330918e-06,3.704574273940641e-06,2.069383731134812e-06,2.590294299671443e-06,2.8094433549761797e-06,4.834138263196351e-06,3.879009862046172e-06,2.821890550941869e-06,2.8576855593714028e-06,4.747242764652349e-06,4.925357704451999e-06,3.910037786576077e-06,1.8565831524364748e-06,4.530599296335854e-06,2.651265107710348e-06,2.8070652917543885e-06,3.129388577504705e-06,3.068153239891852e-06,4.6760675377543975e-06,5.4472520042984905e-06,3.454523541348831e-06,4.918858455753801e-06,6.597991032827886e-06,2.878586579150557e-06,6.225713656865607e-06,2.9781981927676917e-06,4.50686164086289e-06,1.3481407274311795e-05,5.648096702765396e-06,2.7672031969741752e-06,2.812532870100117e-06,2.6753402316888372e-06,2.5180194857491533e-06,9.252011120087516e-06,1.44272452117956e-05,1.5586796521190703e-05,2.1751245852548852e-05,1.6552280143691163e-05
b0023,7.28394341004184e-05,7.133576478167528e-05,4.186150965291852e-05,2.416239570984122e-05,5.5556449403529006e-05,3.8442389318301754e-05,4.8623409568698846e-05,6.228664201446535e-05,6.1033913152318026e-05,6.390873821407548e-05,6.482996637940458e-05,6.876409016653489e-05,7.23158979236598e-05,6.806411719746926e-05,6.187152772999483e-05,6.287695033270778e-05,7.660191942052205e-05,6.397960855950664e-05,8.748426655816034e-05,7.301341329191744e-05,8.192928897170433e-05,0.00010019037697812069,7.627957258312077e-05,9.072058652298639e-05,9.227604542692337e-05,0.00011670745369668597,0.00011765938279284833,0.00010117564740298445,0.0001016276885537694,0.0001314737799497691,0.00013999684819749554,0.0001152261905831173,8.573231618949963e-05,0.00012936799066396834,0.00010498909785759992,0.00010583955201440707,0.00010929179611732372,0.00010913427536759104,0.0001894887659157065,0.00015613924695224247,4.1726192961517926e-05,0.00020609059452802688,0.0001229668783456805,0.00011998407408758884,0.00018656814162706386,0.00013065132783019934,0.00020104250588872776,0.00022713948223314673,0.00023565968328366951,0.0001325693382377007,0.0001361024025796544,0.00014271562785314224,0.00014179716616658842,0.00039514492572247046,0.00042945473484716116,0.000610591460979297,0.0008075707589585981,0.0008600580866065192
b0025,5.887999289429432e-07,6.573560330881757e-07,1.2741907725050665e-06,7.390249184878767e-07,,4.208132701743651e-07,6.660834231022309e-07,,,3.5887665369589662e-06,2.9780798143046216e-06,,,,6.393663582500478e-07,5.768787690707692e-07,,,,6.85591233069072e-07,,8.866900443102567e-07,,,,8.341596503338221e-07,7.525245378142051e-07,,3.2604118533765327e-06,9.63924225495526e-07,1.0245525142768612e-06,7.481059947034222e-07,,1.225681517134792e-06,,3.2685280079957615e-06,,,7.437805424109392e-07,1.0531137837186145e-06,1.4846918603610786e-06,1.143041526971144e-06,2.835688539973652e-06,,1.1142759609227421e-06,,1.2650669843736132e-06,1.3372692294345427e-06,6.983320953359009e-07,,,3.745828790248167e-06,,1.0691394938874128e-06,1.6793301832949249e-06,1.2522818410688902e-06,2.318872156115712e-06,1.598493135844628e-06
b0026,7.556822790096734e-06,7.820776018660658e-06,7.400474869598056e-06,4.964790188026493e-06,7.542016821244475e-06,4.224385855425269e-06,5.619477062864602e-06,8.997147633742727e-06,8.259621231936598e-06,9.070058195815635e-06,7.78269993628744e-06,8.039798070726574e-06,8.488991205439525e-06,9.533260469735371e-06,7.577890500262121e-06,7.801028185340687e-06,9.401925822181894e-06,7.911360932771029e-06,8.412251375221184e-06,8.230959323772356e-06,9.056538432894029e-06,1.208104964252472e-05,7.375761651696282e-06,8.867370452308454e-06,8.040247183809306e-06,1.0589986833353916e-05,1.0182092555985181e-05,8.428440198543137e-06,9.156917297604316e-06,1.0687212393567575e-05,1.2049335361907458e-05,1.079522994718711e-05,6.727195404630105e-06,1.1187579064286918e-05,8.66700310141174e-06,8.924533631490724e-06,7.980829178734016e-06,7.825438841690165e-06,1.4696322964108556e-05,1.728518365297573e-05,9.383696989631874e-06,1.547839855320017e-05,1.885918600048981e-05,7.262762306087045e-06,1.4971862728792388e-05,7.2059642050238836e-06,1.5054274772249604e-05,2.2114726248909723e-05,1.4941076337196452e-05,6.956587741714687e-06,7.097931495343576e-06,6.9866734648435676e-06,6.982280619532681e-06,1.994759212662348e-05,2.270168046368226e-05,2.5688045991402244e-05,3.1226338803223956e-05,2.9223837554279432e-05
b0028,1.8682964933467135e-06,1.9041641340410096e-06,1.3434707164854795e-06,5.303870439554484e-07,4.679096763301251e-06,2.6782807097647565e-06,4.4970574165182285e-06,2.336976275150351e-06,7.10262815886711e-06,2.495353258563837e-06,2.3604706671405927e-06,2.1425687947984375e-06,2.0878696035049404e-06,2.3257763659993616e-06,6.932045021058371e-06,8.86115648801663e-06,2.664001138764482e-06,7.5146934080893095e-06,2.5490575730011765e-06,5.6057378644707035e-06,2.6347070027035737e-06,7.3927318562756185e-06,6.771174526356835e-06,2.666747531366115e-06,2.472474523230288e-06,9.759725423935619e-06,7.888492795860354e-06,2.397293004985024e-06,2.492651003256301e-06,9.30398145957331e-06,8.995072913674531e-06,1.2832711203293603e-05,6.309142151419939e-06,6.943649168954714e-06,2.524517484014243e-06,2.3288528269958355e-06,2.657795314304627e-06,2.582673512415393e-06,8.184967427595886e-06,7.72128457761021e-06,2.0775632891253075e-06,8.966698832256603e-06,3.3301737120433434e-06,2.7085393073109796e-06,7.0514347503189104e-06,2.486520742947976e-06,1.3028097257452823e-05,8.980532127856026e-06,3.449165776109453e-06,2.83602050728623e-06,,2.5362940115170168e-06,1.8412694124728289e-06,3.968481208692223e-06,2.5870399330999418e-05,7.989150639704426e-06,3.0129975528516646e-05,8.369820633059643e-06
b0029,9.195158796173885e-08,5.515464930400045e-07,6.263098529351016e-07,1.2233298901897783e-07,8.69971436537137e-07,2.9446890199637497e-07,4.4314852504947296e-07,7.74951047969527e-07,9.687986620191742e-07,,,,,,5.149225523462209e-07,6.882732550233451e-07,,9.701572847727461e-07,,7.439818198559129e-07,,1.1311163415500705e-06,9.500295402753861e-07,7.289437487467437e-07,,9.989721637951662e-07,8.734555491096302e-07,,6.614255306822629e-07,8.867338221545386e-07,1.37426201104624e-06,9.54809879593509e-07,9.342292608449585e-07,9.742004454486532e-07,6.518725004440063e-07,7.268988134773469e-07,7.988278552922452e-07,8.416969321731173e-07,7.333543707613068e-07,1.0809403904862146e-06,1.065103693277527e-06,1.6034878356416478e-06,2.178788394192263e-06,,1.0361642100773878e-06,7.131383011641714e-07,1.4127462585251921e-06,1.122163520797645e-06,1.6621994599532216e-06,7.77932438336458e-07,,7.79227099236657e-07,,3.644194562803847e-06,3.891578632097549e-06,6.290745392949353e-06,4.650185774298855e-06,8.138032546589722e-06
