,GALACTOSE,ACETATE,PYRUVATE,SUCCINATE,GLYCEROL,GLUCOSE,FRUCTOSE
b0002,938.1764705882,916.7347826087,4072.576,1478.8682170543,1772.5113636364,2008.1901408451,3257.1689189189
b0003,137.9728506787,165.3695652174,336.532,155.2286821705,167.5,209.1866197183,240.6148648649
b0004,2115.6832579186,2435.2521739131,7854.524,3921.3178294574,4208.0113636364,5143.8556338028,4900.8648648649
b0006,175.0407239819,187.6130434783,227.956,208.4224806202,226.9507575758,282.8943661972,282.2331081081
b0008,3494.0271493213,2922.6391304348,4488.616,3726.3100775194,4279.0151515152,3742.6197183099,4226.8783783784
b0009,6.0407239819,20.9347826087,19.372,6.9651162791,16.5227272727,16.6161971831,6.3074324324
b0014,4991.0995475113,6162.7521739131,5295.48,7622.5620155039,6704.2462121212,6551.161971831,6331.2094594595
b0015,192.5339366516,214.8565217391,235.588,231.6201550388,280.8825757576,242.3943661972,204.4493243243
b0023,5012.3393665158,4724.2260869565,6371.488,7025.5775193799,7983.7196969697,10155.8521126761,9120.0945945946
b0025,51.7963800905,43.3434782609,56.388,44.9341085271,58.428030303,56.3274647887,57.3885135135
b0026,613.9004524887,586.1260869565,768.28,607.984496124,687.1477272727,762.7535211268,682.9222972973
b0028,561.5791855204,665.7782608696,470.132,471.0310077519,512.9696969697,441.8661971831,591.0067567568
b0029,41.7149321267,51.7130434783,71.932,52.1550387597,78.3712121212,79.0176056338,64.0878378378
b0030,62.1312217195,91.9304347826,101.808,100.1007751938,80.4053030303,14.9084507042,29.0202702703
b0031,483.4615384615,704.0956521739,661.692,432.2868217054,664.0151515152,1085.1338028169,770.972972973
b0032,1560.4615384615,1287.5130434783,1597.764,2146.2209302326,2205.1136363636,3259.2147887324,2541.8918918919
b0033,757.7013574661,658.4304347826,738.98,1010.3992248062,1080.4848484849,1565.0563380282,1248.3986486487
b0036,4.1719457014,5.1347826087,3.836,8.5620155039,4.4393939394,20.9084507042,
b0046,6.9502262443,9.3173913043,4.26,12.2945736434,12.5568181818,15.985915493,
b0047,1.0950226244,1.5217391304,1.048,1.7015503876,1.4886363636,0.7852112676,1.1283783784
b0048,78.8190045249,76.9391304348,113.496,89.3100775194,112.625,103.8028169014,89.222972973
b0049,16.2624434389,21.947826087,18.156,15.476744186,15.4734848485,20.1302816901,10.4628378378
b0050,8.1312217195,8.5391304348,6.392,4.496124031,5.1704545455,4.5774647887,3.4932432432
b0051,33.4253393665,48.2,55.808,56.8449612403,64.9810606061,88.9577464789,60.25
b0052,58.4479638009,61.7304347826,69.808,55.0542635659,62.8863636364,64.7887323944,53.6959459459
b0053,535.7692307692,391.1130434783,482.708,460.7209302326,492.1666666667,547.1795774648,475.8783783784
b0054,168.4796380091,128.3130434783,142.332,130.9457364341,137.6439393939,184.3133802817,120.2432432432
b0055,13.4977375566,0.8826086957,8.64,10.9651162791,14.2954545455,0.3556338028,15.4864864865
b0058,30.1040723982,27.2304347826,22.596,31.7674418605,42.0757575758,41.6021126761,
b0059,21.0950226244,28.3695652174,21.512,23.4651162791,27.9848484848,29.5669014085,32.3783783784
b0062,,,,,,,
b0068,5.2533936652,8.2782608696,13.108,10.507751938,10.2613636364,6.5070422535,7.6114864865
b0071,2364.0542986425,2891.9217391304,1460.556,2440.0465116279,1966.6477272727,1802.3521126761,1858.222972973
b0072,1031.0542986425,1544.1260869565,844.252,1086.3643410853,1105.9545454546,973.0563380282,870.3074324324
b0073,3475.4570135747,3150.1173913044,1194.072,1706.5465116279,1905.9166666667,1615.5035211268,1697.4763513514
b0074,1933.1900452489,1844.8391304348,837.116,1344.2635658915,1280.6818181818,954.6690140845,1287.0033783784
b0077,125.9230769231,133.652173913,184.82,118.2248062016,178.6666666667,155.1725352113,149.8040540541
b0078,582.1990950226,392.0913043478,534.084,543.1085271318,472.1477272727,539.7288732394,652.4459459459
b0080,108.4389140272,112.3347826087,128.276,124.1434108527,95.7007575758,52.2042253521,93.6993243243
b0081,71.6515837104,66.7434782609,64.984,36.6317829457,51.5946969697,52.0105633803,39.8141891892
b0082,136.5248868778,133.9913043478,172.12,137.0658914729,125.8712121212,131.5176056338,148.3378378378
b0083,3.1357466063,11.1260869565,19.368,11.6124031008,14.7007575758,20.6795774648,8.5574324324
b0084,4.0407239819,6.4608695652,9.976,5.6899224806,5.2007575758,4.0422535211,4.7736486486
b0085,136.5384615385,221.3608695652,201.02,136.1395348837,142.2689393939,180.2570422535,146.8513513514
b0086,107.628959276,221.2956521739,198.328,101.8217054264,179.7803030303,186.7922535211,104.9864864865
b0087,6.6696832579,8,13.268,4.003875969,9.2916666667,7.1795774648,7.2195945946
b0088,21.5248868778,29.8826086957,32.964,23.5,26.125,28.6091549296,24.7398648649
b0090,31.9502262443,32.1826086957,43.7,37.7325581395,34.4583333333,32.4049295775,39.2027027027
b0091,109.6832579186,139.7565217391,158.78,139.8682170543,129.5833333333,153.0774647887,134.4527027027
b0092,201.628959276,216.7,206.508,179.1085271318,178.7954545455,179.9929577465,177.75
b0094,176.1402714932,251.6956521739,215.86,173.9418604651,205.6893939394,201.2323943662,190.6283783784
b0095,1401.665158371,1383.1565217391,1666.932,1690.9534883721,1636.8598484849,2137.1936619718,1744.2060810811
b0096,60.1221719457,39.1217391304,43.716,42.1472868217,43.4318181818,46.2887323944,33.8918918919
b0098,200.0769230769,196.047826087,315.984,239.2906976744,235.4962121212,248.7042253521,260.3074324324
b0099,0.0090497738,0.0695652174,8.304,0.996124031,0.5340909091,1.2746478873,
b0101,3.8687782805,22.552173913,34.628,8.2945736434,31.6931818182,33.3063380282,1.1047297297
b0102,129.9457013575,79.7956521739,83.34,113.0387596899,101.8522727273,103.5950704225,130.4594594595
b0103,15.334841629,27.9608695652,25.768,13.6317829457,15.5303030303,25.1408450704,16.152027027
b0104,329.8371040724,282.6304347826,486.876,448.5310077519,435.0681818182,403.0563380282,393.5033783784
b0109,230,175.952173913,238.84,216.9031007752,212.7121212121,222.2429577465,221.0709459459
b0110,45.5158371041,50.9434782609,48.396,49.8953488372,40.1818181818,58.8873239437,
b0111,0.0452488688,2.5304347826,2.772,0.2015503876,1.3522727273,1.4471830986,0.1351351351
b0112,19.5610859729,37.8130434783,44.512,43.8643410853,52.6098484848,70.3626760563,46.1486486486
b0113,10.5656108597,22.6913043478,129.64,14.0426356589,18.1893939394,36.0387323944,29.0878378378
b0114,1476.520361991,1063.1434782609,6316.4,1836.7248062016,1540.4810606061,2047.397887324,3180.2702702703
b0115,2211.556561086,1550.6521739131,8771.82,2670.7441860465,2139.9015151515,3189.2288732394,3796.7094594595
b0116,4078.3076923077,3942.1826086957,9711.48,5549.5,3905.3825757576,4435.0563380282,4761.3277027027
b0118,5825.92760181,9932.1608695652,6558.088,7576.4069767442,4087.9507575758,2674.485915493,2967.0168918919
b0119,41.4841628959,54.5913043478,36.928,40.1976744186,36.0113636364,60.0704225352,
b0120,224.4796380091,196.0086956522,229.552,304.496124031,313.2575757576,626.8345070423,356.2162162162
b0121,206.5746606335,136.7347826087,168.468,189.9341085271,204.678030303,366.0985915493,193.3716216216
b0122,20.407239819,31.3913043478,12.88,18.4418604651,16.125,23.1197183099,
b0123,328.8416289593,282.3391304348,311.608,311.0348837209,376.9507575758,364.0457746479,221.9864864865
b0124,16.8552036199,12.1739130435,7.172,10.3217054264,8.2537878788,15.2464788732,12.0506756757
b0125,305.850678733,231.3434782609,301.056,353.2403100775,317.9696969697,452.3098591549,396.1689189189
b0126,952.5294117647,923.4782608696,1015.232,894.3837209302,971.8371212121,1282.3943661972,1114.7702702703
b0127,59.1900452489,58.8347826087,47.752,105.3527131783,95.5909090909,95.8309859155,64.5574324324
b0131,93.9457013575,116.3739130435,173.172,118.8759689922,145.0303030303,234.0070422535,161.9155405405
b0133,465.0271493213,474.6304347826,568.164,403.6511627907,514.7386363636,452.7288732394,444.5067567568
b0134,672.5610859729,1152.1260869565,834.66,702.4186046512,850.9204545455,908.1830985915,751.4695945946
b0142,59.6968325792,69.6304347826,75.324,69.3217054264,63.4696969697,75.3450704225,
b0143,9.7058823529,5.7869565217,11.036,13.1744186047,12.4621212121,15.2570422535,14.8952702703
b0144,7.3800904977,11.547826087,18.592,17.976744186,16.5643939394,16.7464788732,
b0145,1841.0859728507,1584.2913043478,1860.156,2122.4496124031,2461.8598484849,2057.6514084507,1982.4560810811
b0146,5.7239819005,6.3217391304,3.812,7.3565891473,7.6515151515,15.1373239437,
b0148,,,,,,,
b0149,2225.1447963801,2658.2173913044,3097.776,2337.6511627907,2913.8712121212,2600.911971831,2563.7837837838
b0150,344.8552036199,254.1,324.676,344.1395348837,336.8636363636,307.3908450704,311.5033783784
b0151,14.7828054299,21.7913043478,12.64,31.8720930233,48.1856060606,54.3978873239,
b0152,6.4932126697,9.1173913043,12.86,18.0813953488,11.4015151515,16.073943662,
b0154,787.8371040724,668.5086956522,862.104,801.7364341085,962.4128787879,1024.4295774648,907.3243243243
b0156,968.0316742081,778.2739130435,1130.452,1396.7325581395,1310.5454545455,1270.2183098592,1309.6554054054
b0158,3.1131221719,2.7739130435,4.344,3.5620155039,8.0227272727,7.4683098592,
b0159,976.7692307692,588.7695652174,787.588,800.511627907,756.1022727273,767.4647887324,846.7466216216
b0160,2.2895927602,1.3869565217,1.512,1.1937984496,1.1893939394,0.8556338028,0.8040540541
b0161,771.5067873303,665.6130434783,2461.328,844.6511627907,1272.1590909091,1175.323943662,1383.7195945946
b0162,,,,,,,
b0163,984.0678733032,845.0130434783,872.336,768.7441860465,961.5643939394,601.2570422535,706.8716216216
b0166,1837.6787330317,1989.8782608696,2762.068,1923.1937984496,2767.553030303,3871.8098591549,3422.7736486487
b0167,53.4751131222,48.647826087,64.872,70.015503876,53.4393939394,44.3028169014,49.7128378378
b0168,465.1538461538,458.8956521739,439.152,500.4224806202,501.4166666667,520.6021126761,550.4932432432
