bnumber	description	gene name	GLC_BATCH_mu=0.58_S	LB_BATCH_mu=1.9_S	GLYC+AA_BATCH_mu=1.27_S	ACE_BATCH_mu=0.3_S	FUM_BATCH_mu=0.42_S	GAM_BATCH_mu=0.46_S	GLYC_BATCH_mu=0.47_S	PYR_BATCH_mu=0.40_S	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.12_S	Stationary phase 1 day	Stationary phase 3 days	GLC+SALTS_BATCH_mu=0.55_S	GLC@42deg_BATCH_mu=0.66_S	GLC@pH6_BATCH_mu=0.63_S	XYL_BATCH_mu=0.55_S	MAN_BATCH_mu=0.47_S	GAL_BATCH_mu=0.26_S	SUCC_BATCH_mu=0.44_S	FRU_BATCH_mu=0.65_S
b0002	Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	thrA	0.843	0.319	0.262	0.312	0.506	0.771	0.692	1.51	1.17	0.484	0.302	0.217	0.38	0.414	0.949	0.667	0.781	1.38	0.649	0.307	0.564	1.43
b0003	Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2	thrB	0.0331	0.0246	0.0166	0.0212	0.0253	0.0385	0.0247	0.0469	0.0182	0.0116	0.00982	0.00844	0.0281	0.0178	0.0848	0.0325	0.0465	0.0654	0.0129	0.017	0.0223	0.0397
b0004	Threonine synthase OS=Escherichia coli (strain K12) GN=thrC PE=1 SV=1	thrC	1.14	0.274	0.27	0.438	0.693	0.704	0.868	1.53	0.685	0.398	0.268	0.234	0.39	0.418	1.37	0.583	0.746	1.33	0.714	0.365	0.791	1.13
b0006	UPF0246 protein yaaA OS=Escherichia coli (strain K12) GN=yaaA PE=1 SV=1	yaaA	0.0394	0.0542	0.0445	0.0212	0.0255	0.0366	0.0294	0.028	0.0226	0.0179	0.0142	0.00897	0.00525	0.00437	0.0263	0.033	0.0265	0.0362	0.0319	0.019	0.0264	0.041
b0008	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	talB	0.621	0.924	1.07	0.393	0.566	0.574	0.66	0.656	0.582	0.406	0.285	0.22	0.384	0.445	0.793	1.13	0.772	0.781	0.533	0.451	0.562	0.731
b0009	Molybdopterin adenylyltransferase OS=Escherichia coli (strain K12) GN=mog PE=1 SV=1	mog	0.00166	0.00638	0.00459	0.00169	0.00239	0.00225	0.00153	0.0017	0.00119	0.000948	0.000863	0.00072	0.000402	0.000181	0.000358	0.000461	0.000452	0.000255	0.000796	0.00047	0.000632	0.000657
b0014	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	dnaK	2.13	6.85	4.43	1.63	1.93	2	2.03	1.52	1.78	1.52	1.2	1.1	3.91	3.87	2.37	5.16	3.91	2.12	2.08	1.26	2.26	2.15
b0015	Chaperone protein dnaJ OS=Escherichia coli (strain K12) GN=dnaJ PE=1 SV=3	dnaJ	0.0469	0.137	0.102	0.0337	0.0516	0.0491	0.0506	0.0402	0.0455	0.0397	0.0307	0.025	0.0444	0.0324	0.0453	0.123	0.0574	0.0527	0.0401	0.029	0.0407	0.0413
b0023	30S ribosomal protein S20 OS=Escherichia coli (strain K12) GN=rpsT PE=1 SV=2	rpsT	0.463	1.2	0.713	0.174	0.293	0.32	0.338	0.256	0.305	0.194	0.149	0.129	0.143	0.14	0.431	0.486	0.405	0.356	0.278	0.178	0.291	0.433
b0025	Riboflavin biosynthesis protein ribF OS=Escherichia coli (strain K12) GN=ribF PE=1 SV=1	ribF	0.00922	0.0123	0.01	0.00574	0.00752	0.00842	0.00889	0.00812	0.0104	0.00654	0.00733	0.00507	0.00416	0.00465	0.00608	0.0103	0.00868	0.00861	0.00649	0.00659	0.00668	0.00979
b0026	Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5	ileS	0.375	0.499	0.407	0.233	0.287	0.281	0.314	0.332	0.285	0.236	0.186	0.153	0.16	0.166	0.361	0.51	0.35	0.425	0.281	0.235	0.271	0.35
b0028	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fkpB PE=1 SV=2	fkpB	0.0335	0.0742	0.0714	0.0408	0.0407	0.0376	0.0361	0.0313	0.0272	0.0247	0.0229	0.0149	0.00611	0.00623	0.031	0.0319	0.0254	0.0292	0.0515	0.0331	0.0324	0.0466
