,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.36_P,PYR_BATCH_mu=0.40_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.41_P,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+SALTS_BATCH_mu=0.55_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,FUM_BATCH_mu=0.55_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.58_S,GLC_BATCH_mu=0.58_S,GLC_BATCH_mu=0.6_H,GLC_BATCH_mu=0.6_H,GLC@pH6_BATCH_mu=0.63_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLC_BATCH_mu=1.03_S
bound,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum
CSND,-2.65156203508722E-014,0,2.14856349691054E-014,0,2.40828419123596E-014,1.26903375895564E-029,5.75535966524697E-015,0,5.75535966524697E-015,0,9.19784222196598E-015,0,-9.72867508156364E-014,0,-3.09138077944408E-014,0,1.81499203833927E-013,0,-1.2938794082725E-014,-1.57772181044202E-030,-1.2938794082725E-014,-1.57772181044202E-030,-2.61509432005129E-014,0,-5.52708707379491E-014,3.50519249878477E-029,1.32337368026146E-013,0,8.48207069391995E-014,-6.52518815811896E-032,6.7786401950405E-014,0,3.67339664484292E-014,7.98721666536274E-030,-6.89822461319771E-014,0,1.19220110213399E-014,0,2.30691354384679E-014,0,-8.61051328382473E-014,0,-1.09456714465531E-015,-4.33197917758252E-030,-4.49748243171093E-014,1.31875645529486E-030,-2.45256947857409E-014,0,9.46375760195464E-015,0,9.46375760195464E-015,0,4.54305357165818E-014,1.27412302883368E-029,9.93959475564701E-014,0,3.97863467672563E-014,0,-8.21452181164889E-015,0,7.96793981255257E-015,1.81684527233714E-029,-8.03212927324323E-014,0,-6.09625114929976E-014,0,-1.02191299824956E-013,1.74288956247267E-029,-1.95993338487815E-014,-6.36635402416645E-030,8.51691729515745E-014,-3.89962136463528E-031
ADNt2pp,-7.27135037904738E-014,0,-3.44053606315432E-014,0,1.43193431858691E-013,0,-1.76715938695975E-014,0,-1.76715938695975E-014,0,3.60521960728697E-014,0,-3.08832664672386E-014,0,-2.81942115797139E-013,0,5.05683030735219E-013,0,-2.64887688205452E-013,0,-2.64887688205452E-013,0,-1.29567726344704E-013,0,-1.84905355885489E-013,0,1.54632788938438E-013,0,1.31345246119581E-013,0,1.99683315477084E-013,0,1.06354926934645E-013,0,-1.15948491142798E-013,0,4.04551514243697E-013,0,5.26520637168013E-013,0,-2.51537171344343E-013,0,1.52015225240687E-013,0,-2.0843438591685E-013,0,-1.2354401697755E-013,0,-8.51771740961673E-014,0,-8.51771740961673E-014,0,-3.35781064384411E-014,0,2.6631107134294E-013,0,3.28243520554035E-013,0,-1.75410411866295E-013,0,5.43467452436931E-013,0,1.21946981925069E-013,0,-1.59945439028761E-013,0,-4.85728017297023E-013,0,-6.34299138939323E-014,0,4.58538507649963E-013,0
GTPDPDP,-2.49537488959089E-014,0,-4.5979208282232E-014,0,6.2233251288995E-014,0,-1.22958812754616E-015,0,-1.22958812754616E-015,0,-6.76089768185705E-014,0,-4.82041292365315E-014,0,-1.27791170998285E-013,0,1.61452637603582E-013,0,-1.09589506778538E-013,0,-1.09589506778538E-013,0,1.00610064493517E-013,0,-2.86016049294392E-013,0,2.39759911186342E-013,0,-7.20434727636057E-014,0,1.24894813329064E-013,0,1.72731301932691E-013,0,-2.71930719015591E-014,0,1.43764040606842E-013,0,1.10253782215395E-013,0,-1.59417944757575E-013,0,-1.1782076734505E-014,0,-1.48265341616264E-013,0,-4.91501718415078E-015,0,-1.32409126218168E-013,0,-1.32409126218168E-013,0,-2.4291281521767E-014,0,1.62000230503073E-013,0,2.37466773413631E-013,0,-1.83633544028946E-013,0,7.21484487766407E-014,0,-1.69657282466176E-014,0,-3.16600714360176E-013,0,1.14220918678066E-015,0,-2.18446662022471E-013,0,4.8651078239105E-013,0
CITtex_reverse,-7.37982480640456E-014,0,-4.08309430826461E-014,0,1.40962740098911E-013,0,-1.55897630680995E-014,0,-1.55897630680995E-014,0,3.26085090869079E-014,1.53985648699142E-027,-2.81162436096523E-014,0,-2.3260665135532E-013,0,4.82774193923873E-013,0,-8.45617115814332E-014,0,-8.45617115814332E-014,0,-1.36130022623998E-013,0,-1.80400116388051E-013,0,1.48490566790872E-013,0,1.33886616011888E-013,0,1.96909431652625E-013,0,1.02344246258187E-013,-2.6505726415426E-028,-1.20930461924553E-013,0,3.97273969791214E-013,3.15544362088405E-028,5.24533728266716E-013,0,-2.51252535145666E-013,0,1.38888030596884E-013,-5.80601626242665E-028,-2.22134005426407E-013,0,-1.24438402454687E-013,0,-8.24605225938883E-014,0,-8.24605225938883E-014,0,-2.90919488992392E-014,0,2.41033800735781E-013,1.76704842769507E-028,1.10789243341309E-012,0,-1.68858496822802E-013,0,5.41815429869793E-013,0,1.22216406164932E-013,0,-1.27780196337199E-013,0,-4.89239012909104E-013,0,-6.76422968320543E-014,0,4.7143341197831E-013,4.03896783473158E-028
EX_tym_e,0,7.66006938394861E-014,-3.39816544225389E-014,0,0,-1.44972770254066E-013,0,2.02776025401744E-014,0,2.02776025401744E-014,0,-3.56072666063359E-014,0,3.22654073967236E-014,-2.33113620903043E-013,0,0,-4.71456936554196E-013,0,1.43898863201594E-013,0,1.43898863201594E-013,0,1.26272532365912E-013,0,1.77321558200597E-013,0,-9.83414551669481E-014,0,-1.4803342148375E-013,0,-2.18256691303743E-013,-1.24635317793995E-012,0,0,8.17792091556139E-014,0,-4.16028715811303E-013,5.2370642333271E-013,0,-2.46934645783634E-013,0,0,-1.25133408155864E-013,0,2.23712095569778E-013,0,1.31228841976127E-013,0,8.76925231363335E-014,0,8.76925231363335E-014,0,4.26283621005195E-014,0,-2.42364333641856E-013,3.26977172416572E-013,0,0,2.18318010998006E-013,0,-7.97661251942373E-013,0,-1.45612079584345E-013,0,1.70176838090071E-013,0,5.19623995633446E-013,0,9.50876686536078E-014,0,-4.61203178434335E-013
GAMtex_reverse,-7.46361195029423E-014,0,-3.53787573420001E-014,0,1.44285819757579E-013,0,-1.70839766209011E-014,0,-1.70839766209011E-014,0,3.44185473444228E-014,9.08767762814606E-028,-2.87417503361453E-014,0,-2.33257606339681E-013,0,4.86666991991561E-013,5.04870979341448E-028,-1.4208274460277E-013,0,-1.4208274460277E-013,0,-1.35025166400127E-013,0,-1.82280265256676E-013,0,1.51400131740955E-013,0,1.32402993759058E-013,0,2.01547275852021E-013,0,1.02782372356088E-013,-2.52435489670724E-029,-1.16289364305828E-013,0,4.14416290340382E-013,2.14570166220115E-028,5.25876925003566E-013,0,-2.50161394079277E-013,0,1.50078081219107E-013,1.0097419586829E-028,-2.18259859684783E-013,0,-1.30174997464471E-013,0,-9.1094315872724E-014,0,-9.1094315872724E-014,0,-3.16518993062762E-014,0,2.38470746800026E-013,0,3.24333887520053E-013,0,-1.75248242326345E-013,0,5.51778163632763E-013,0,1.31263314352803E-013,0,-1.65394205466804E-013,0,-4.81106195572856E-013,0,-7.55395034836943E-014,0,4.70504765712522E-013,1.0097419586829E-028
MEOHtrpp_reverse,0.00000022,0.00000022,0.00000024,0.00000024,0.0000004,0.0000004,0.00000042,0.00000042,0.00000042,0.00000042,0.00000044,0.00000044,0.00000052,0.00000052,0.00000052,0.00000052,0.0000006,0.0000006,0.00000062,0.00000062,0.00000062,0.00000062,0.0000007,0.0000007,0.00000072,0.00000072,0.0000008,0.0000008,0.0000008,0.0000008,0.00000082,0.00000082,0.00000084,0.00000084,0.00000088,0.00000088,0.00000092,0.00000092,0.00000092,0.00000092,0.00000094,0.00000094,0.00000094,0.00000094,0.00000098,0.00000098,0.000001,0.000001,0.00000102,0.00000102,0.00000102,0.00000102,0.0000011,0.0000011,0.0000011,0.0000011,0.0000011,0.0000011,0.00000116,0.00000116,0.0000012,0.0000012,0.00000126,0.00000126,0.0000013,0.0000013,0.00000132,0.00000132,0.00000134,0.00000134,0.00000206,0.00000206
NH4tpp_reverse,-7.25076137979187E-014,0,-3.50617644381999E-014,0,1.4389724169896E-013,0,-1.69602217191754E-014,0,-1.69602217191754E-014,0,3.23819819836256E-014,0,-2.8943845621097E-014,0,-2.36134645224588E-013,0,4.80338720751197E-013,0,2.48663284680137E-013,0,2.48663284680137E-013,0,-1.34277500581981E-013,0,-1.80505500839217E-013,0,1.51064896429222E-013,0,1.35084876252918E-013,0,1.9729633597414E-013,0,1.01456067838487E-013,0,-1.16067319700902E-013,0,4.08459087293552E-013,0,5.23819022194613E-013,0,-2.48633102696941E-013,0,1.41413787977907E-013,0,-2.15654305023866E-013,0,-1.32241920486097E-013,0,-8.33366324881559E-014,0,-8.33366324881559E-014,0,-3.71449011929568E-014,0,2.43389906311315E-013,0,3.40743937921921E-013,0,-1.78642662487963E-013,0,5.44900852412253E-013,0,1.30135744093417E-013,0,-1.61107703757665E-013,0,-4.91965564532472E-013,0,-7.37852643686124E-014,0,4.4786402226581E-013,0
3OAR120_reverse,-7.37235465343613E-014,0,-3.65837396365011E-014,0,1.43504636506897E-013,0,-2.08458032582457E-014,0,-2.08458032582457E-014,0,3.66713836589518E-014,0,2.41095819154624E-014,0,-2.88615460057366E-013,0,4.86217048089979E-013,0,7.13436357207539E-014,0,7.13436357207539E-014,0,-1.30677618687667E-013,0,-1.82244258902528E-013,0,1.65331262295655E-013,0,1.31976425256316E-013,0,2.00996293688855E-013,0,1.20951396747819E-013,0,-1.47181319966022E-013,0,3.68894804454058E-013,0,5.10569507861711E-013,0,-1.35431987548599E-013,0,-6.67341169264773E-014,0,-2.25476038294303E-013,0,-1.30207751212101E-013,0,-8.5291394795038E-014,0,-8.5291394795038E-014,0,-7.19583402168797E-014,0,3.66592646756482E-013,0,3.36674954273641E-013,0,-2.06468841349064E-013,0,4.93917258980153E-013,0,1.29845958536755E-013,0,-4.34731654945544E-013,0,-4.24434601072345E-013,0,-1.00782982665673E-013,0,3.45918449818952E-013,0
