,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.36_P,PYR_BATCH_mu=0.40_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.41_P,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+SALTS_BATCH_mu=0.55_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,FUM_BATCH_mu=0.55_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.58_S,GLC_BATCH_mu=0.58_S,GLC_BATCH_mu=0.6_H,GLC_BATCH_mu=0.6_H,GLC@pH6_BATCH_mu=0.63_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLC_BATCH_mu=1.03_S
,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum,maximum,minimum
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSND,0.00038278335847575633,0.0,0.00041000249908690149,0.0,0.0006277556241436592,0.0,0.00065497476477609413,0.0,0.00065497476477609413,0.0,0.00068219390541838512,0.0,0.00079107046791909415,0.0,0.00082996781613651257,0.0,0.001218621510572205,-2.3966242135299375e-30,0.00092716617106225019,0.0,0.00092716617106225019,0.0,0.0010360427336211027,0.0,0.0010632618742120908,0.0,0.0013979648949201712,0.0,0.001172138436802476,0.0,0.0011993575773856162,0.0,0.0013430600506653548,0.0,0.0014336574934852933,0.0,0.001335453280600096,0.0,0.0012869248191997211,0.0,0.0013791465769257391,0.0,0.0013959986838749652,0.0,0.0014171107023945905,0.0,0.0014443298430515954,0.0,0.0014715489836374922,0.0,0.0014715489836374922,0.0,0.0015804255462366387,0.0,0.0016711491358605839,0.0,0.0017325023878682559,0.0,0.0016620829680376709,0.0,0.0017165212494028349,0.0,0.0017981786712210667,0.0,0.0018805113313462582,0.0,0.0018798360931152258,0.0,0.0019070552337546599,0.0,0.0028869442965594747,0.0
ADNt2pp,0.0046460330133425544,0.0,0.0049764053327844941,0.0,0.0076193838881702695,0.0,0.0079497562074203141,0.0,0.0079497562074203141,0.0,0.008280128526870623,0.0,0.0096016178044042513,0.0,0.01037285040058805,0.0,0.018401184809471109,0.0,0.011253479401181611,0.0,0.011253479401181611,0.0,0.012574968678917491,0.0,0.01290534099827296,0.0,0.017069887136910902,0.0,0.014226830276203974,0.0,0.014557202595654677,0.0,0.017506631590763041,0.0,0.01895783260004923,0.0,0.016209064192885148,0.0,0.014944414462903653,0.0,0.016702997432080979,0.0,0.016734534222233293,0.0,0.017200181150504448,0.0,0.017530553469943484,0.0,0.017860925789392551,0.0,0.017860925789392551,0.0,0.019182415067059266,0.0,0.020741287691503598,0.0,0.022582967171915391,0.0,0.020173532025121128,0.0,0.020834276664633136,0.0,0.021825393622415593,0.0,0.022425097625568137,0.0,0.022816510580040354,0.0,0.023146882899816545,0.0,0.035040286398843046,0.0
GTPDPDP,0.00055145792442243843,0.0,0.00059067125615578004,0.0,0.00090437790958452222,0.0,0.00094359124124049961,0.0,0.00094359124124049961,0.0,0.00098280457294060933,0.0,0.0011396578996290679,0.0,0.0011970612099779642,0.0,0.0017693446932555705,0.0,0.0013357245580105672,0.0,0.0013357245580105672,0.0,0.0014925778847622113,0.0,0.0015317912164142288,0.0,0.0020144587305649382,0.0,0.0016886445432326138,0.0,0.001727857874849023,0.0,0.0019401679340558013,0.0,0.0020721351911936483,0.0,0.0019239245332421748,0.0,0.0018507014815073739,0.0,0.0019867001350387945,0.0,0.0020101542609349066,0.0,0.0020415645281893465,0.0,0.0020807778599136397,0.0,0.0021199911915985676,0.0,0.0021199911915985676,0.0,0.0022768445183506095,0.0,0.0024096495995759443,0.0,0.0025027515165826578,0.0,0.0023944845133616463,0.0,0.0024729111767650765,0.0,0.0025905511717687888,0.0,0.0027072552465382403,0.0,0.002708191166819546,0.0,0.0027474044984900315,0.0,0.0041590844391065085,0.0
CITtex_reverse,0.0046460330133414572,0.0,0.0049764053327847994,0.0,0.0076193838881681497,0.0,0.0079497562074223958,0.0,0.0079497562074223958,0.0,0.0082801285268671743,0.0,0.0096016178044069905,0.0,0.010372850400637358,0.0,0.018401184809476549,0.0,0.011253479401361935,0.0,0.011253479401361935,0.0,0.012574968678910932,0.0,0.012905340998277129,0.0,0.01706988713690295,0.0,0.014226830276206574,0.0,0.014557202595652586,0.0,0.017506631590764803,-5.0487097934144756e-29,0.018957832600044178,0.0,0.016209064192877636,2.5243548967072378e-28,0.014944414462901666,0.0,0.016702997432081469,0.0,0.016734534222219988,-1.3883951931889808e-27,0.017200181150490764,0.0,0.017530553469942634,0.0,0.017860925789388117,0.0,0.017860925789388117,0.0,0.019182415067063193,0.0,0.020741287691478209,-8.7090243936399703e-28,0.022582967171910568,0.0,0.020173532025128508,0.0,0.020834276664631463,0.0,0.02182539362241586,0.0,0.022425097625600306,0.0,0.022816510580036798,0.0,0.023146882899812343,0.0,0.035040286398855952,0.0
EX_tym_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAMtex_reverse,0.0046460330133406783,0.0,0.0049764053327835626,0.0,0.0076193838881714734,0.0,0.0079497562074209022,0.0,0.0079497562074209022,0.0,0.0082801285268689923,0.0,0.0096016178044063868,0.0,0.010372850400636733,0.0,0.018401184809480456,8.3303711591338847e-28,0.011253479401318626,0.0,0.011253479401318626,0.0,0.01257496867891205,0.0,0.01290534099827559,0.0,0.017069887136912966,0.0,0.014226830276205022,0.0,0.014557202595656328,0.0,0.01750663159076524,1.0097419586828951e-27,0.018957832600048859,0.0,0.016209064192895001,2.0194839173657902e-28,0.014944414462903018,0.0,0.016702997432082565,0.0,0.016734534222231128,-1.9185097214975007e-27,0.017200181150494674,0.0,0.017530553469936726,0.0,0.017860925789386632,0.0,0.017860925789386632,0.0,0.019182415067060629,0.0,0.020741287691475648,0.0,0.022582967171897266,0.0,0.020173532025121673,0.0,0.020834276664641448,0.0,0.021825393622424038,0.0,0.02242509762556269,0.0,0.022816510580044903,0.0,0.023146882899804409,0.0,0.035040286398854585,0.0
MEOHtrpp_reverse,0.004646253013341004,2.1999999999999998e-07,0.0049766453327804855,2.3999999999999998e-07,0.0076197838881730696,3.9999999999999998e-07,0.0079501762074192916,4.1999999999999995e-07,0.0079501762074192916,4.1999999999999995e-07,0.0082805685268585189,4.3999999999999997e-07,0.0096021378044020035,5.2e-07,0.010373370400635025,5.2e-07,0.018401784809474114,5.9999999999999997e-07,0.011254099401308542,6.1999999999999999e-07,0.011254099401308542,6.1999999999999999e-07,0.012575668678914456,6.9999999999999997e-07,0.012906060998271867,7.1999999999999999e-07,0.017070687136912822,7.9999999999999996e-07,0.014227630276201001,7.9999999999999996e-07,0.01455802259565381,8.1999999999999988e-07,0.017507471590773906,8.399999999999999e-07,0.018958712600047493,8.7999999999999994e-07,0.016209984192875865,9.1999999999999998e-07,0.014945334462899086,9.1999999999999998e-07,0.016703937432083947,9.3999999999999989e-07,0.016735474222224635,9.3999999999999989e-07,0.017201161150527954,9.7999999999999993e-07,0.017531553469929424,9.9999999999999995e-07,0.017861945789399373,1.02e-06,0.017861945789399373,1.02e-06,0.019183515067053451,1.1000000000000001e-06,0.020742387691463547,1.1000000000000001e-06,0.022584067171892493,1.1000000000000001e-06,0.020174692025126197,1.1599999999999999e-06,0.020835476664640033,1.1999999999999999e-06,0.021826653622422625,1.26e-06,0.022426397625568282,1.3e-06,0.022817830580024314,1.3200000000000001e-06,0.02314822289982239,1.3400000000000001e-06,0.035042346398829451,2.0599999999999998e-06
NH4tpp_reverse,0.0046460330133427548,0.0,0.0049764053327838948,0.0,0.007619383888171084,0.0,0.0079497562074209906,0.0,0.0079497562074209906,0.0,0.0082801285268669558,0.0,0.0096016178044026484,0.0,0.01037285040063385,0.0,0.018401184809474114,0.0,0.011253479401680951,0.0,0.011253479401680951,0.0,0.012574968678912779,0.0,0.012905340998277354,0.0,0.017069887136907342,0.0,0.014226830276207717,0.0,0.014557202595652307,0.0,0.017506631590764803,0.0,0.018957832600049067,0.0,0.016209064192889044,0.0,0.014944414462900972,0.0,0.016702997432088529,0.0,0.01673453422222268,0.0,0.017200181150497325,0.0,0.017530553469934693,0.0,0.017860925789394397,0.0,0.017860925789394397,0.0,0.019182415067055363,0.0,0.020741287691480575,0.0,0.022582967172484196,0.0,0.020173532025117822,0.0,0.020834276664634558,0.0,0.021825393622423767,0.0,0.022425097625566971,0.0,0.022816510580034064,0.0,0.023146882899806199,0.0,0.035040286398832381,0.0
