,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
DM_4CRSOL,0.000669,0.00107783333333,0.0014495,0.00182116666667,0.00183008666667,0.0018955,0.00241583333333
DM_5DRIB,0.000693,0.00111566666622,0.0015015,0.0018865,0.00189574,0.00196366666677,0.0025025
DM_AACALD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_AMOB,6e-06,9.66666666667e-06,1.3e-05,1.63333333333e-05,1.64133333333e-05,1.7e-05,2.16666666667e-05
DM_MTHTHF,0.00402,0.00647666666669,0.00871,0.0109433333333,0.0109969333333,0.01139,0.0145166666667
DM_OXAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ec_biomass_iJO1366_WT_53p95M,3.0,4.83333333333,6.5,8.16666666667,8.20666666667,8.5,10.8333333333
Ec_biomass_iJO1366_core_53p95M,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_12ppd_R_e,0.0,0.0,3.33333328995e-07,0.0,9.84666676529e-06,0.0,0.0
EX_12ppd_S_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_14glucan_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_15dap_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23camp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23ccmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23cgmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23cump_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23dappa_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_26dap_M_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_34dhpac_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3cmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3gmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3hcinnm_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3hpp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3hpppn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3ump_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_4abut_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_4hoxpacd_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_5dglcn_e,0.0,10.7344952121,0.0,0.0,0.0,0.0,0.0
EX_5mtr_e,0.020232,0.032596,0.043836,0.055076,0.05534576,0.057324,0.07306
EX_LalaDglu_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_LalaDgluMdap_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_LalaDgluMdapDala_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_LalaLglu_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
