bnumber,glucose,lb,glycerol+aa,acetate,glycerol,pyruvate,galactose,succinate,fructose
b0002,4.35,4.47,8.9,17.17,10.22,26.72,13.8,7.56,18.42
b0003,48.49,1.18,30.7,28.91,10.01,22.98,15.23,14.11,27.23
b0004,8.83,4.87,3.64,5.04,2.47,6.54,7.06,9.67,7.46
b0006,12.89,1.62,7.53,2.93,7.79,4.57,5.85,3.7,7.29
b0008,5.38,1.02,5.51,2.78,5.18,11.15,2.6,4.98,4.62
b0009,5.57,19.21,3.69,20.01,15.01,12.41,8.54,34.03,33.41
b0014,7.9,3.04,2.54,2.21,3.41,8.32,5.3,3.59,0.32
b0015,10.83,4.43,5.76,12.28,3.72,7.29,5.71,6.21,10.61
b0023,15.9,4.13,5.09,2.48,1.27,8.04,3.49,6.11,2.03
b0025,19.27,5.32,17.27,18.76,1.05,5.26,5.06,11.14,9.53
b0026,4.13,0.53,3.85,1.86,1.62,8.52,5.99,6.13,3.93
b0028,23.69,22.92,14.52,11.01,19.63,9.74,14.36,30.25,9.53
b0029,11.89,6.27,2.4,5.35,9.07,15.79,21.42,4.24,8.28
b0030,15.26,16.38,7.67,13.25,6.26,9.06,5.85,9.73,36.62
b0031,10.29,1.38,5.71,1.59,3.69,8.84,4.62,3.36,2.53
b0032,7.51,0.95,2.97,4.59,4.96,6.3,4.95,7.73,3.02
b0033,4.19,2.21,27.18,10.74,0.5,12.5,15.91,4.01,2.94
b0036,,,,,,,,,
b0046,,,,,,,,,
b0047,40.17,36.97,65.44,23.85,33.43,43.71,38.25,64.64,44.85
b0048,6.52,7.67,0.66,8.42,3.33,5.2,8.36,5.81,10.39
b0049,12.8,9.83,17.49,19.5,7.23,10.59,13.82,17.2,3.66
b0050,42.12,15.65,21.72,3.59,16.43,19.84,10.06,30.17,33.22
b0051,12.61,0.26,10.86,9.24,1.77,12.37,32.82,11.75,10.84
b0052,11.44,4.57,4.18,3.65,10.85,3.21,15.04,16.93,5.17
b0053,6.64,1.58,2.64,10.73,6.6,9.5,3.28,12.45,3.03
b0054,8.35,7.99,1.86,2.02,5.57,5.33,6.42,8.57,14.01
b0055,162.35,133.28,104.33,139.88,25.11,89.14,18.2,37.87,76.16
b0058,,,,,,,,,
b0059,22.19,24.98,16.26,16.37,20.27,134.1,19.79,15.52,16.66
b0068,9.82,48.22,4.11,5.23,11.76,17.42,20.6,14.37,5.35
b0071,1.83,6.02,8.84,18.33,8.57,10.28,2.37,5.3,10.4
b0072,11.16,6.12,11.79,5.97,3.58,14.46,0.54,7.18,5.68
b0073,5.21,3.26,3.82,4.68,4.43,23.26,1.63,4.93,10.96
