,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
DM_4CRSOL,4.014e-05,6.466999999999999e-05,8.697e-05,0.00010927,0.0001098052,0.00011373,0.00014495
DM_5DRIB,4.158e-05,6.693999997333759e-05,9.009e-05,0.00011319,0.0001137444,0.00011782000000622152,0.00015015
DM_AACALD,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
DM_AMOB,3.6e-07,5.8e-07,7.799999999999999e-07,9.8e-07,9.847999999999999e-07,1.02e-06,1.3e-06
DM_MTHTHF,0.0002412,0.00038860000000129894,0.0005226000000000117,0.0006565999999996082,0.0006598160000004377,0.0006833999999999998,0.0008710000000000143
DM_OXAM,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Ec_biomass_iJO1366_WT_53p95M,0.18,0.29,0.39,0.49,0.4924,0.51,0.65
Ec_biomass_iJO1366_core_53p95M,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_12ppd_R_e,-0.0,-0.0,1.9999999739672703e-08,-0.0,5.908000059173801e-07,-0.0,-4.500000063550891e-07
EX_12ppd_S_e,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
EX_14glucan_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_15dap_e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_23camp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23ccmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23cgmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23cump_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23dappa_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_26dap_M_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
EX_34dhpac_e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_3amp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3cmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3gmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3hcinnm_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
