,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
CSND,0.160622210447,0.148015829051,0.211543875533,0.26498456136,0.239733145995,0.336126146195,0.258478002483
ADNt2pp,0.000135900263609,0.000970467944963,0.000706813735643,0.000828909972721,0.00180495583293,0.000618272805889,0.00133902919523
GTPDPDP,0.00386430942596,0.00249220498937,0.00431065028307,0.003155408792,0.00363981911967,0.00387305019157,0.00586639381047
CITtex_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_tym_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAMtex_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEOHtrpp_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH4tpp_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3OAR120_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMNtex_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_xan_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTD10,0.00051668877587,0.0,0.00071912472575,0.0,0.0,0.000565136085424,0.000546966623523
NTD11,0.00051668877587,0.0,0.00071912472575,0.0,0.0,0.000565136085424,0.000546966623523
NTD12,0.000683349497419,0.0,0.00100867696148,0.0,0.0,0.000705902824068,0.000940127790825
PMEACPE,0.00120850553576,0.00377551171129,0.00203910061648,0.00143600012399,0.00144793852426,0.00128759739756,0.00343642766
PItex_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XTSNH,0.00203598756092,0.0030124825572,0.00333616201106,0.00263481374212,0.000950969700088,0.0032802176988,0.000488537314192
DDPA,0.386543826448,0.358241733151,0.543004553944,0.420646056278,0.677555295028,0.380111015622,0.613116902616
DCAtex_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Htex,0.0,0.229920818589,0.0,0.0,0.0,0.165399620501,0.0
P5CD,0.0126463372716,0.0184333115149,0.0173682477703,0.0184222394477,0.016627456797,0.0160050422767,0.0163553547996
2DGULRy,0.00846240371574,0.00659866785758,0.00993896864828,0.00779575575899,0.0100877685293,0.0078405013608,0.0112115890885
2DGULRx,0.00846240371574,0.00659866785758,0.00993896864828,0.00779575575899,0.0100877685293,0.0078405013608,0.0112115890885
GAMptspp,0.0285905683937,0.0638046889902,0.0521527152685,0.0435068313445,0.0,0.0653254481392,0.0
THRt2rpp_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5CR,0.0428720312809,0.0287831455692,0.022758019904,0.024142250716,0.0175758657816,0.0220578342131,0.0273565827772
EX_glyclt_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_dimp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_h_e_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUTRR,0.000443889580112,3.44457947429e-05,0.000676677506609,0.000372472018466,0.000240100606242,0.000439839656767,0.000495568538286
GLUTRS,0.140915512245,0.171320169716,0.180706256305,0.195127146051,0.199082280492,0.178375659041,0.244175279678
ULA4Ntppi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_peamn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSAR,0.0156070869037,0.0164070568776,0.015928395861,0.0175170071533,0.0145467928063,0.0192062594907,0.0130431060556
AGM4Pt2pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_duri_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAS15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBZOPT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_hxa_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G5SADs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAALAtex,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYStex,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORNtex,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPG141tipp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHAT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMMBLHX,0.00281864528919,0.0022600912175,0.00163230271981,0.00211311338349,0.00221618344999,0.00240688113525,0.00236157726131
OMPHHX,0.00289535297249,0.00357864806867,0.00473510281011,0.00393669791421,0.0,0.00503118736156,0.00473767432653
PANTS,0.0739390195568,0.0754659358079,0.0903377129029,0.0818431142273,0.070676290253,0.064180276922,0.0719836015192
E4PD,0.00236523694827,0.00453394377191,0.00615173586136,0.00786095140511,0.0044633504006,0.00340315899981,0.00739658223815
PLIPA2A180pp,3.26130254352e-05,2.55842860793e-05,2.26475348074e-05,2.69398506814e-05,2.9504078655e-05,2.31157009016e-05,2.98133782274e-05
SCYSDS,0.00877909060141,0.0101220536886,0.0,0.00782796507894,0.00625344712311,0.00544680389517,0.0100270842634
EX_ppal_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_pydam_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TREHpp,0.0252017156906,0.020264330424,0.0135388838732,0.0162948100285,0.00601926265938,0.0148902105039,0.00742480964473
PGM_reverse,0.727434570679,0.0,0.0,0.787012248321,0.902031588699,0.0,0.889970270782
EX_pi_e_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42A12BOOXpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOAD1f,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACLS,0.12678057985,0.154212600365,0.106853244177,0.190305843669,0.15305696297,0.163116700742,0.157171084245
GALCTNtex_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDONt2rpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HACD6_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_o16a4colipa_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_urea_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPLIPAL2ATG120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLYCTO3,0.0,0.0,0.0,0.0,0.0,0.00143230916444,0.00107115433348
GLYCTO2,0.00295404413535,0.010679508196,0.00128084617688,0.00267920339793,0.00432521490481,0.00143230916444,0.00107115433348
LALADGLUtpp,6.1466797687e-07,5.90615751685e-07,5.4336649155e-07,5.1455160185e-07,4.58924401648e-07,5.2651791817e-07,4.78315573548e-07
MOX_reverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYXt2pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLYALDtpp_reverse,0.000874253856198,0.0,0.0,0.0,0.00065189306653,0.0,0.000401541961642
