,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
12DGR120tipp,,,,,,,
12DGR140tipp,,,,,,,
12DGR141tipp,,,,,,,
12DGR160tipp,,,,,,,
12DGR161tipp,,,,,,,
12DGR180tipp,,,,,,,
12DGR181tipp,,,,,,,
12PPDRtex,,,,,,,
12PPDRtex_reverse,,,1.59660687046e-06,,6.37058419312e-05,,
12PPDRtpp,,,,,,,
12PPDRtpp_reverse,,,,,,,
12PPDStex,,,,,,,
12PPDStex_reverse,,,,,,,
12PPDStpp,,,,,,,
12PPDStpp_reverse,,,,,,,
14GLUCANabcpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14GLUCANtexi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23CAMPtex,,,,,,,
23CAMPtex_reverse,,,,,,,
23CCMPtex,,,,,,,
23CCMPtex_reverse,,,,,,,
23CGMPtex,,,,,,,
23CGMPtex_reverse,,,,,,,
23CUMPtex,,,,,,,
23CUMPtex_reverse,,,,,,,
23DAPPAt2pp,,,,,,,
23DAPPAtex,,,,,,,
23DAPPAtex_reverse,,,,,,,
23PDE2pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23PDE4pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23PDE7pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23PDE9pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26DAHtex,,,,,,,
26DAHtex_reverse,,,,,,,
2AGPA120tipp,,,,,,,
2AGPA140tipp,,,,,,,
2AGPA141tipp,,,,,,,
2AGPA160tipp,,,,,,,
2AGPA161tipp,,,,,,,
2AGPA180tipp,,,,,,,
2AGPA181tipp,,,,,,,
2AGPE120tipp,,,,,,,
2AGPE140tipp,,,,,,,
2AGPE141tipp,,,,,,,
2AGPE160tipp,,,,,,,
2AGPE161tipp,,,,,,,
2AGPE180tipp,,,,,,,
2AGPE181tipp,,,,,,,
2AGPEAT120,,,,,,,
2AGPEAT140,,,,,,,
2AGPEAT141,,,,,,,
2AGPEAT160,,,,,,,
2AGPEAT161,,,,,,,
2AGPEAT180,,,,,,,
2AGPEAT181,,,,,,,
2AGPG120tipp,,,,,,,
2AGPG140tipp,,,,,,,
2AGPG141tipp,,,,,,,
2AGPG160tipp,,,,,,,
2AGPG161tipp,,,,,,,
2AGPG180tipp,,,,,,,
2AGPG181tipp,,,,,,,
2AGPGAT120,,,,,,,
2AGPGAT140,,,,,,,
2AGPGAT141,,,,,,,
2AGPGAT160,,,,,,,
2AGPGAT161,,,,,,,
2AGPGAT180,,,,,,,
2AGPGAT181,,,,,,,
2DGULRGx,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2DGULRGy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2DGULRx,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2DGULRy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2MAHMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34dhpactex,,,,,,,
34dhpactex_reverse,,,,,,,
3AMACHYD,,,,,,,
3AMPtex,,,,,,,
3AMPtex_reverse,,,,,,,
3CMPtex,,,,,,,
3CMPtex_reverse,,,,,,,
3GMPtex,,,,,,,
3GMPtex_reverse,,,,,,,
3HAD100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HAD120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HAD121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HAD140,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HAD141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HAD160,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HAD161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HAD180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HAD181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HAD40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HAD60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HAD80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HCINNMH,,,,,,,
3HPPPNH,,,,,,,
3HPPtex,,,,,,,
3HPPtex_reverse,,,,,,,
3HPPtpp,,,,,,,
3KGK,,,,,,,
3NTD2pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3NTD4pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3NTD7pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3NTD9pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3OAR100,,,,,,,
3OAR100_reverse,,,,,,,
3OAR120,,,,,,,
3OAR120_reverse,,,,,,,
3OAR121,,,,,,,
3OAR140,1.99197823699,3.35277626945,3.6918095254,4.69587695071,4.72333201546,3.97229626208,5.00446480949
3OAR140_reverse,,,,,,,
3OAR141,,,,,,,
3OAR160,,,,,,,
3OAR160_reverse,,,,,,,
3OAR161,,,,,,,
3OAR180,,,,,,,
3OAR180_reverse,,,,,,,
3OAR181,,,,,,,
3OAR40,,,,,,,
3OAR40_reverse,,,,,,,
3OAR60,,,,,,,
3OAR60_reverse,,,,,,,
3OAR80,,,,,,,
3OAR80_reverse,,,,,,,
3OAS100,,,,,,,
3OAS120,,,,,,,
3OAS121,,,,,,,
3OAS140,0.126611592357,0.251737063632,0.285551239469,0.358676299147,0.434680217541,0.358698267527,0.539580439028
3OAS141,,,,,,,
3OAS160,,,,,,,
3OAS161,,,,,,,
3OAS180,,,,,,,
3OAS181,,,,,,,
3OAS60,,,,,,,
3OAS80,,,,,,,
3OXCOAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3PEPTabcpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3PEPTtex,,,,,,,
3PEPTtex_reverse,,,,,,,
3UMPtex,,,,,,,
3UMPtex_reverse,,,,,,,
42A12BOOXpp,,,,,,,
4HOXPACDtex,,,,,,,
4HOXPACDtex_reverse,,,,,,,
4HTHRS,,,,,,,
4PCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4PCPpp,,,,,,,
4PEPTabcpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4PEPTtex,,,,,,,
4PEPTtex_reverse,,,,,,,
5DGLCNR,0.0,,0.0,0.0,,0.0,0.0
5DGLCNR_reverse,0.0,455.236627637,0.0,0.0,,0.0,0.0
5DGLCNt2rpp,,,,,,,
5DGLCNt2rpp_reverse,,,,,,,
5DGLCNtex,,,,,,,
5DGLCNtex_reverse,,46.6877913797,,,,,
5DOAN,0.0173681083669,0.0463874352561,0.0466699678942,0.0610783817516,0.0548070664705,0.0600497742928,0.0798227862558
5MTRtex,,,,,,,
5MTRtex_reverse,0.107705847796,0.141770546052,0.209966579054,0.308689879476,0.358075308342,0.346578787946,0.483658415854
5MTRtpp,,,,,,,
A5PISO,11.6129896778,12.8282995505,15.0548461337,19.3144109586,32.1020262802,28.876295618,31.023624791
A5PISO_reverse,,,,,,,
AACPS1,0.483733190757,1.35510646407,1.23332251368,1.39421088751,1.46888791304,1.37951012909,1.98488368249
AACPS2,,,,,,,
AACPS3,7.1988471973,20.1664978904,18.3541268009,20.7484442494,21.8597769142,20.5296696943,29.5387511291
AACPS4,5.59922206864,15.6853864154,14.275734575,16.1380209563,17.0024091301,15.9678593619,22.9750712398
AACPS5,2.88578212903,8.08408869117,7.35756846401,8.3173719318,8.76286880867,8.22967237602,11.8411181382
AACPS6,,,,,,,
AACPS7,2.41867254784,6.77548645818,6.16661256839,6.97101254829,7.34437690908,6.89759046762,9.92441841245
AACPS8,,,,,,,
AACPS9,,,,,,,
AACTOOR,,,,,,,
AADDGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAMYL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAMYLpp,0.0,0.0,0.0,0.0,,0.0,0.0
AB6PGH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABTA,6.78606311467,53.1037680525,0.0,0.0,0.0,0.0,0.0
ABUTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABUTt2pp,,,,,,,
ABUTtex,,,,,,,
ABUTtex_reverse,,,,,,,
ACACCT,,,,,,,
ACACT1r,58.7380542451,137.704887095,162.498737508,461.128810085,644.892522354,254.240916316,832.380264131
ACACT1r_reverse,,,,,,,
ACACT2r,58.7380542451,137.704887095,162.498737508,461.128810085,644.892522354,254.240916316,832.380264131
ACACT2r_reverse,,,,,,,
ACACT3r,58.7380542451,137.704887095,162.498737508,461.128810085,644.892522354,254.240916316,832.380264131
ACACT3r_reverse,,,,,,,
ACACT4r,58.7374915933,137.703568018,162.497180932,461.124392927,644.88634492,254.238480943,832.372290758
ACACT4r_reverse,,,,,,,
ACACT5r,58.7374915933,137.703568018,162.497180932,461.124392927,644.88634492,254.238480943,832.372290758
ACACT5r_reverse,,,,,,,
ACACT6r,51.0938462146,119.784032826,141.351097796,401.117667123,560.9666179,221.153752807,724.054019881
ACACT6r_reverse,,,,,,,
ACACT7r,49.5651213067,116.200101528,137.121881168,389.116249845,544.182529309,214.536845382,702.390365705
ACACT7r_reverse,,,,,,,
ACACT8r,,,,,,,
ACACT8r_reverse,9.11983528076,21.3804739625,25.2300193498,71.596235621,100.127971023,39.4741431062,129.237743582
ACACt2pp,,,,,,,
ACACt2pp_reverse,,,,,,,
ACACtex,,,,,,,
ACACtex_reverse,,,,,,,
ACALD,0.0,0.0,,0.0,,0.00493147017322,
ACALD_reverse,0.0,0.0,127.514800948,0.0,41.1114507199,,184.194641506
ACALDtex,,,,,,,
ACALDtex_reverse,,,,,,,
ACALDtpp,,,,,,,
ACALDtpp_reverse,,,,,,,
ACANTHAT,,,,,,,
ACBIPGT,0.0,0.0,0.0,0.0,,0.0,0.0
ACCOAC,0.226912492297,0.419978712349,0.42077350896,0.497270646524,0.519306059578,0.546928210884,0.619098914107
ACCOAL,,,,,,,
ACGAL1PPpp,,,,,,,
ACGAL1Ptex,,,,,,,
ACGAL1Ptex_reverse,,,,,,,
ACGALtex,,,,,,,
ACGALtex_reverse,,,,,,,
ACGAM1PPpp,,,,,,,
ACGAM1Ptex,,,,,,,
ACGAM1Ptex_reverse,,,,,,,
ACGAMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGAMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGAptspp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGAtex,,,,,,,
ACGAtex_reverse,,,,,,,
ACGK,5.75702027085,11.3677504756,9.97098197057,13.36968062,10.6094945093,14.4781801373,11.5340794223
ACGS,72.8665845602,93.4477428904,87.2421824876,112.539005127,100.559113746,149.542640784,122.346927342
ACHBS,6.68018714697,8.84803833649,17.1729835077,12.1147041812,15.1367908721,14.7109461452,19.4585092715
ACKr,0.0,1124.45488901,,,,,
ACKr_reverse,0.0,,230.811630338,24.4014372852,135.839490318,147.478917837,298.013586809
ACLS,20.1025583178,26.6262310837,51.6783279959,36.4565455948,45.5508527765,44.2693664545,58.5561165881
ACM6PH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACMAMUT,0.0,0.0,0.0,0.0,,0.0,0.0
ACMANAptspp,0.0,0.0,0.0,0.0,,0.0,
ACMANAtex,,,,,,,
ACMANAtex_reverse,,,,,,,
ACMUMptspp,0.0,0.0,0.0,0.0,0.0,0.0,
ACMUMtex,,,,,,,
ACNAMt2pp,,,,,,,
ACNAMtex,,,,,,,
ACNAMtex_reverse,,,,,,,
ACNML,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOAD1f,,,,,,,
