,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
DM_4CRSOL,0.0006689999999999999,0.0010778333333333332,0.0014495,0.0018211666666666667,0.0018300866666666666,0.0018955,0.002415833333333333
DM_5DRIB,0.0006929999999999999,0.0011156666662222932,0.0015015,0.0018865,0.00189574,0.0019636666667703587,0.0025024999999999995
DM_AACALD,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
DM_AMOB,5.999999999999999e-06,9.666666666666667e-06,1.3e-05,1.633333333333333e-05,1.641333333333333e-05,1.7e-05,2.1666666666666667e-05
DM_MTHTHF,0.00402,0.006476666666688316,0.008710000000000195,0.010943333333326803,0.010996933333340628,0.011389999999999996,0.014516666666666905
DM_OXAM,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Ec_biomass_iJO1366_WT_53p95M,3.0,4.833333333333333,6.5,8.166666666666666,8.206666666666667,8.5,10.833333333333334
Ec_biomass_iJO1366_core_53p95M,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_12ppd_R_e,-0.0,-0.0,3.3333332899454504e-07,-0.0,9.846666765289669e-06,-0.0,-7.5000001059181516e-06
EX_12ppd_S_e,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
EX_14glucan_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_15dap_e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_23camp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23ccmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23cgmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23cump_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23dappa_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_26dap_M_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
EX_34dhpac_e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_3amp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
