reaction,Gerosa_reaction_id,acetate,fructose,galactose,glucose,glycerol,gluconate,pyruvate,succinate
Ace_Ex,PTAr+ACS,0.3255,0.0588,0,1.0289,0.2002,0.1576,0.5305,0.3087
Ace_Ex,ACt2r;ACKr,0.3255,0.0588,0,1.0289,0.2002,0.1576,0.5305,0.3087
Fru_Ex,FRUpts;FRUK,0,0.2788,0,0,0,0,0,0
Gal_Ex,GALabc;GALKr;UGLT;PGMT,0,0,0.0132,0,0,0,0,0
Glc_Ex,GLCpts,0,0,0,0.038,0,0,0,0
Gly_Ex,GlycUpt;GLYK;G3PD5,0,0,0,0,0.1459,0,0,0
Gln_Ex,GlcnUpt;GNK,0,0,0,0,0,0.0336,0,0
Pyr_Ex,PYRt2r,0,0,0,0,0,0,0.7982,0
Suc_Ex,SUCCt,0,0,0,0,0,0,0,0.3057
Fum_Ex,FUM_SEC,0,0,0,0,0,0,0,0.069
Lac_Ex,LDH_D;D_LACt2,0,0,0,0,0,0,0.069,0
PGI,PGI,0.5667,0.3726,0.04,0.311,0.1624,0,0.0667,0.5445
PFK-FBP,PFK-FBP,0.3006,0.1242,0.014,0.1417,0.0831,0.0328,0.0222,0.2996
FBA,FBA,0.1181,0.0459,0.0064,0.0525,0.0405,0.0158,0.0086,0.1142
TPI,TPI,0.3006,0.1242,0.014,0.1417,0.0831,0.0328,0.0222,0.2996
Middle_EMP,PGK,0.3006,0.1242,0.014,0.1417,0.0831,0.0328,0.0222,0.2996
Middle_EMP,GAPD,0.3006,0.1242,0.014,0.1417,0.0831,0.0328,0.0222,0.2996
Low_EMP,PGM,0.3006,0.1242,0.014,0.1417,0.0831,0.0328,0.0222,0.2996
Low_EMP,ENO,0.3006,0.1242,0.014,0.1417,0.0831,0.0328,0.0222,0.2996
PYK-PPS,PYK-PPS,1.311,0.4693,0.0316,0.1417,0.0831,0.0328,0.2471,3.5183
PDH,PDH,0.1664,0.1215,0.0333,0.0906,0.0516,0.0164,0.1101,0.0405
ED,EDD;EDA,0.2047,0,0.0155,0.0799,0,0.0492,0,0.2444
PPP_ED_branch,ZWF;PGL,0.4926,0.3726,0.0498,0.2833,0.0717,0.0696,0.0667,0.529
Early_PPP,GND,0.448,0.3726,0.0473,0.2718,0.1547,0.0492,0.0667,0.4692
RPI,RPI,0.1493,0.1242,0.0158,0.0906,0.0516,0.0164,0.0222,0.1564
RPE,RPE,0.1493,0.1242,0.0158,0.0906,0.0516,0.0164,0.0222,0.1564
Non-ox_PPP,TKT1;TALA,0.1493,0.1242,0.0158,0.0906,0.0516,0.0164,0.0222,0.1564
TKT2,TKT2,0.1493,0.1242,0.0158,0.0906,0.0516,0.0164,0.0222,0.1564
PPC,PPC,0.3539,0.1158,0.0206,0.1208,0,0,0.1279,0.0527
PPCK,PPCK,1.2094,0.4586,0.0334,0.1208,0,0,0.2741,3.4868
Early_TCA,CS;ACONT;ACONT2,0.1493,0.1242,0.0158,0.0906,0.0516,0.0164,0.0222,0.1564
ICDH,ICDHyr,0.3367,0.1282,0.0354,0.0906,0.0516,0.0164,0.1015,0.3014
Int_TCA,AKGDH;SUCOAS,0.3367,0.1282,0.0354,0.0906,0.0516,0.0164,0.1015,0.3014
SUCDH3,SUCDH3,0.1493,0.1242,0.0158,0.0906,0.0516,0.0164,0.0222,0.1564
FUM,FUM,0.1493,0.1242,0.0158,0.0906,0.0516,0.0164,0.0222,0.1564
MDH+MQO,MDH+MQO,1.2021,0.4693,0.0332,0.0906,0.0516,0.0164,0.2471,3.4754
ME,ME1+ME2,1.1855,0.4625,0.0033,0,0,0,0.2496,3.4725
Glx_Cycle,ICL;MALS,0.2196,0.0135,0.0305,0,0,0,0.1035,0.1475
Growth_rate,BIOMASS,0.013,0.01,0.01,0.01,0.008,0.025,0.01,0.01
