UPID	Gene	Molecular weight (Da)	GALACTOSE	ACETATE	PYRUVATE	GLYCEROL	FRUCTOSE	SUCCINATE	GLUCOSE	Annotated functional COG group (description)	Description	Annotated functional COG class	Annotated functional COG groups (letter)
P0A8T7	rpoC	155045.008	2258	2180	2730	2845	4517	2764	2779	Transcription	DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) GN=rpoC PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	K
P0A8V2	rpoB	150520.2758	2820	2661	3714	3749	5269	3855	3957	Transcription	DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	K
P36683	acnB	93420.9457	12875	22844	16395	10792	8782	19547	7596	Energy production and conversion	Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	METABOLISM	C
P15254	purL	141295.8984	1570	1438	2708	2068	2406	1913	2456	Nucleotide transport and metabolism	Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) GN=purL PE=1 SV=3	METABOLISM	F
P09831	gltB	163176.3153	1398	1363	1691	2204	3858	1553	2859	Amino acid transport and metabolism	Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) GN=gltB PE=1 SV=3	METABOLISM	E
P0AFG8	aceE	99587.94042	3263	2445	15791	4067	9414	4739	5815	Energy production and conversion	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	METABOLISM	C
P0A9Q7	adhE	96048.64958	6324	4510	3292	5186	19994	4052	4851	Energy production and conversion	Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2	METABOLISM	C
P0CE47	tufA	43238.30279	140285	149278	187233	191041	233116	195883	252452	Translation, ribosomal structure and biogenesis	Elongation factor Tu 1 OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P25665	metE	84602.80905	11660	17413	18643	28808	38848	19185	51584	Amino acid transport and metabolism	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) GN=metE PE=1 SV=6	METABOLISM	E
P0A6F5	groL	57274.67483	15632	19540	22919	26358	24906	26639	22739	Posttranslational modification, protein turnover, chaperones	60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	O
