upid,Gene,Number of peptides,Confidence score,Protein molecular weight,GLC_BATCH_mu=0.6_NEW,FUM_BATCH_mu=0.55_NEW,PERSIST@8H_mu=0.02_NEW,STARVED@8H_mu=-0.005_NEW
P31119,aas ,3,69.91,80630.5781300003,15.0919241105,13.6770271546,8.1956303064,13.9076007405
P0ABD5,accA,23,1518.59,35201.29042,1476.1718853894,1444.469675595,1483.5185284525,1434.464298854
P0ABD8,accB,9,515.65,16658.41639,1708.8195223244,1842.156762447,2036.6294322792,1919.5276834463
P24182,accC,22,1517.49,49271.3027300001,1334.2738502547,1149.6268644954,1562.8955008628,1260.2034900889
P0A9Q5,accD,14,786.95,33282.06852,971.4314418061,830.0567989207,1021.8342506305,841.1148014672
P0A9G6,aceA,29,2552.73,47473.5765900001,11403.8805704645,45004.7439537123,8041.8651168924,34438.8538554172
P08997,aceB,35,2441.82,60217.5275900001,3702.3466005172,6745.8547611434,2269.5178143017,5607.6888992732
P0AFG8,aceE,65,4777.11,99587.9404200005,3742.9535501724,3406.2053104029,4248.9828715188,4034.5882277032
P06959,aceF,42,3417.98,66036.7765400002,3749.2287231735,3429.9034611801,4424.7328366027,3787.1161919106
P11071,aceK,2,37.03,67637.3835400001,10.8075205392,31.9878913456,3.4196103193,22.0750145449
P0A6A3,ackA,16,1200.9,43245.0701200001,1795.5491134412,1928.7314246712,1960.801200477,1641.5432785595
P25516,acnA,35,2278.26,97597.7414100005,501.0320527675,1087.9378114614,1650.8973890717,1346.4083405918
P36683,acnB,67,5415.41,93420.9457000004,4154.0617402044,10603.336874626,2198.8604121922,8653.9719700594
P0A6A8,acpP,4,272,8616.21013,12366.9771382319,12263.565585351,15447.7710203741,18294.4227584121
P24224,acpS,1,92.35,14025.51012,70.9938271867,72.9947999464,63.6860179599,83.2688793896
P37623,acpT,1,51.86,21736.02058,111.6299515045,102.3421003199,140.2599325157,57.021900602
P0AE06,acrA,20,1453.08,42153.0772300001,1458.5656267296,1274.1490876052,1799.4210235242,1489.7245529732
P31224,acrB,22,1287.89,113482.915380001,401.2455800948,420.1231450565,597.3642540301,491.2889038282
P27550,acs ,33,2505.8,72030.2353200002,772.8861489041,10121.5784330928,4940.3840601921,9155.0842736961
P32705,actP,6,269.14,59140.3819800001,64.3597780388,1901.8186740223,340.3511797369,1246.9781919887
P22333,add ,6,288.59,36356.7357,223.5153689539,247.1319959361,216.8316580712,217.1857827263
P23477,addB,1,49.42,134541.50385,28.0135325697,26.2212678554,91.0047219895,52.1495958366
P31441,ade ,3,117.1,63681.1324700001,28.2943352126,53.5912705611,22.2248743166,38.4904160685
P0A9Q7,adhE,56,4714.37,96048.6495800005,3266.1932124613,2353.727592765,5337.3936717788,2900.2015929408
P39451,adhP,1,81.76,35339.05905,29.0495606458,30.5747150625,2.0158224348,16.1037131188
P69441,adk ,16,1181.98,23553.271,2912.0668614199,3302.0011892478,2408.6355454413,3294.1715468108
P0ACK2,agaR,6,400.29,29536.09198,98.8525407358,100.3321594243,67.1576127337,116.8588419145
P19926,agp ,16,917.99,45635.8562800001,512.5883900023,1431.0661581066,2871.0702311099,2284.2562942008
P0AE08,ahpC,16,1311.23,20730.40145,17353.5178744053,22508.4763521027,2821.4601870712,13441.5710473878
P35340,ahpF,23,1633.26,56124.0808500002,1352.1849822942,1365.0363872664,281.2986874643,749.3431861305
P33224,aidB,2,89.29,60532.7505100001,4.6340290024,2.8344300632,32.2266821186,13.2942775412
P00957,alaS,59,4204.73,95954.6443800004,1868.2344243061,1406.8771377732,1795.724229931,1461.1463112965
P25553,aldA,35,2959.89,52221.7168200001,2089.4574153609,18876.5534449936,4610.9064750354,15799.4885200253
P37685,aldB,29,1818.9,56252.4790600001,210.9476173814,1533.6677921558,5555.92922406,2686.5327658192
P04395,alkA,1,62.07,31355.13499,10.8567863631,9.2635405915,17.5406213626,9.836885095
P0ACN4,allR,9,422.78,29233.2666,293.3474416064,257.137532616,359.942360406,285.6249499937
P39265,alsB,4,219.52,32871.13079,32.5330787727,105.8847390812,189.7868443493,128.6727063319
P36548,amiA,5,181.86,31374.88364,108.7392792879,106.6072538051,54.1456890709,63.634358922
P26365,amiB,7,320.81,47937.8714100001,114.3009128045,85.1111632867,106.833163246,45.3226421454
P75820,amiD,3,154.17,31035.06186,62.1778794987,59.2918989545,90.7875344139,92.421588652
P0AE12,amn ,14,723.54,53943.3624100001,578.6422921737,488.3989288037,546.4125132603,535.6096508282
P00811,ampC,2,88.11,41511.40147,41.8031100224,32.151509249,25.6602908896,36.1393363843
P13016,ampD,2,103.98,20505.15669,57.8414269569,62.1727836403,34.0932539348,43.6426262873
P0AE14,ampE,3,173.47,32083.28877,49.3105615748,70.2023177834,51.5380351583,72.8984326286
P0AD70,ampH,2,51.67,41804.3489400001,40.6606591578,30.2306146388,17.7039740668,6.9849573937
P69681,amtB,1,49.01,44467.4402700001,104.3117128198,0.6659370585,175.5477609184,0.0832127538
P26612,amyA,7,262.05,56585.3593800001,137.6338046658,172.1024806999,143.7652032343,138.9238878045
P77570,anmK,2,129.71,39453.35123,67.5111752462,79.8941325166,30.2812067501,76.3523696301
P0A962,ansA,8,293.14,37085.75937,470.2043796435,447.3698505831,364.8712147327,445.4837431949
P00805,ansB,1,69.43,36809.73585,1.2008373593,0.1065794186,24.3838736531,11.3642018709
P62672,apaG,2,64.13,13840.01621,55.5706996095,66.9677365319,183.9193178962,57.2584617453
P05637,apaH,1,37.38,31258.68847,19.7576661967,18.5046554828,28.1635186988,35.8252021284
P0AE22,aphA,1,83.1,26069.23615,28.1426623607,110.3036140036,39.5981691053,156.7474831828
