bnumber	Description	Gene	Peptides.used.for.quantitation	Confidence.score	MW[Da]	Bnumber	Annotated functional COG groups (letter)	Annotated functional COG group (description)	Annotated functional COG class
b0002	Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	thrA	42	3126.22	89045.79557	b0002	E	Amino acid transport and metabolism	METABOLISM
b0003	Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2	thrB	10	514.66	33583.891939999994	b0003	E	Amino acid transport and metabolism	METABOLISM
b0004	Threonine synthase OS=Escherichia coli (strain K12) GN=thrC PE=1 SV=1	thrC	25	1740.99	47066.2141	b0004	E	Amino acid transport and metabolism	METABOLISM
b0006	UPF0246 protein yaaA OS=Escherichia coli (strain K12) GN=yaaA PE=1 SV=1	yaaA	10	549.35	29549.3024	b0006	S	Function unknown	POORLY CHARACTERIZED
b0008	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	talB	25	1950.25	35179.30906	b0008	G	Carbohydrate transport and metabolism	METABOLISM
b0009	Molybdopterin adenylyltransferase OS=Escherichia coli (strain K12) GN=mog PE=1 SV=1	mog	4	204.99	21191.02051	b0009	H	Coenzyme transport and metabolism	METABOLISM
b0014	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	dnaK	53	4447.08	69054.47443999999	b0014	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b0015	Chaperone protein dnaJ OS=Escherichia coli (strain K12) GN=dnaJ PE=1 SV=3	dnaJ	13	623.88	41056.47202	b0015	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b0023	30S ribosomal protein S20 OS=Escherichia coli (strain K12) GN=rpsT PE=1 SV=2	rpsT	5	255.45	9660.30985	b0023	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b0025	Riboflavin biosynthesis protein ribF OS=Escherichia coli (strain K12) GN=ribF PE=1 SV=1	ribF	6	272.86	34694.52422	b0025	H	Coenzyme transport and metabolism	METABOLISM
b0026	Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5	ileS	41	2164.51	104212.5396	b0026	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b0028	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fkpB PE=1 SV=2	fkpB	4	360.26	16052.921409999999	b0028	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b0029	4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Escherichia coli (strain K12) GN=ispH PE=1 SV=1	ispH	4	238.28	34734.93615	b0029	IM	Lipid transport and metabolism	METABOLISM
b0030	Non-specific ribonucleoside hydrolase rihC OS=Escherichia coli (strain K12) GN=rihC PE=1 SV=1	rihC	7	415.34	32521.711769999998	b0030	F	Nucleotide transport and metabolism	METABOLISM
b0031	Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	dapB	15	1303.15	28720.561210000003	b0031	E	Amino acid transport and metabolism	METABOLISM
b0032	Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1	carA	14	1420.06	41387.120460000006	b0032	EF	Amino acid transport and metabolism	METABOLISM
b0033	Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2	carB	55	3752.55	117749.3328	b0033	EF	Amino acid transport and metabolism	METABOLISM
b0036	Carnitinyl-CoA dehydratase OS=Escherichia coli (strain K12) GN=caiD PE=1 SV=4	caiD	4	162.22	28154.48043	b0036	I	Lipid transport and metabolism	METABOLISM
b0046	Glutathione-regulated potassium-efflux system ancillary protein kefF OS=Escherichia coli (strain K12) GN=kefF PE=1 SV=1	kefF	2	116.08	20139.010309999998	b0046	R	General function prediction only	POORLY CHARACTERIZED
b0047	Glutathione-regulated potassium-efflux system protein kefC OS=Escherichia coli (strain K12) GN=kefC PE=1 SV=2	kefC	3	140.33	67734.07836	b0047	P	Inorganic ion transport and metabolism	METABOLISM
b0048	Dihydrofolate reductase OS=Escherichia coli (strain K12) GN=folA PE=1 SV=1	folA	5	264.31	17969.89353	b0048	H	Coenzyme transport and metabolism	METABOLISM
b0049	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] OS=Escherichia coli (strain K12) GN=apaH PE=1 SV=2	apaH	5	276.12	31258.688469999997	b0049	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
b0050	Protein ApaG OS=Escherichia coli (strain K12) GN=apaG PE=3 SV=1	apaG	1	29.62	13840.01621	b0050	P	Inorganic ion transport and metabolism	METABOLISM
b0051	Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rsmA PE=1 SV=1	rsmA	5	414.87	30382.610310000004	b0051	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b0052	4-hydroxythreonine-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxA PE=1 SV=1	pdxA	8	377.06	35073.53746	b0052	H	Coenzyme transport and metabolism	METABOLISM
